month_end,trade_date,cohort_id,book,ticker,side,prev_weight,target_weight,delta_weight,rationale,sector,duration_months,strikes,px_ref_open,delist_risk_score,delist_risk_flags,delist_risk_multiplier,vt_prev,vt_curr
2014-03-31,2014-04-01,0,D10,AEDU3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Other,6,0,13.8925328,0,,1.0,,
2014-03-31,2014-04-01,0,D10,AMER3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Trade,1,0,2335.517605,0,,1.0,,
2014-03-31,2014-04-01,0,D10,APER3,L,0.050847457627118654,0.050847457627118654,0.0,keep,Financial Services,1,0,189.3431888,0,,1.0,,
2014-03-31,2014-04-01,0,D10,BRFS3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Food & Beverage,6,1,42.02745432,0,,1.0,,
2014-03-31,2014-04-01,0,D10,COGN3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Other,6,0,10.47923286,0,,1.0,,
2014-03-31,2014-04-01,0,D10,EZTC3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Construction,39,0,11.96678989,0,,1.0,,
2014-03-31,2014-04-01,0,D10,GRND3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Textile,6,0,2.409370568,0,,1.0,,
2014-03-31,2014-04-01,0,D10,LAND3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Other,6,0,22.0265168,0,,1.0,,
2014-03-31,2014-04-01,0,D10,PFRM3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Trade,6,0,12.19266828,0,,1.0,,
2014-03-31,2014-04-01,0,D10,PSSA3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Financial Services,6,0,8.854890419,0,,1.0,,
2014-03-31,2014-04-01,0,D10,SIMH3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Transportation Services,6,0,2.648437284,0,,1.0,,
2014-03-31,2014-04-01,0,D10,TIMS3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Telecommunication,30,0,7.465214161,0,,1.0,,
2014-03-31,2014-04-01,0,D10,USIM5,L,0.06779661016949154,0.06779661016949154,0.0,keep,Basic & Fabricated Metal,6,0,7.875695472,0,,1.0,,
2014-03-31,2014-04-01,0,D10,VALE3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Mining,36,0,14.67291765,0,,1.0,,
