month_end,trade_date,cohort_id,book,ticker,side,prev_weight,target_weight,delta_weight,rationale,sector,duration_months,strikes,px_ref_open,vt_prev,vt_curr
2011-04-29,2011-05-02,0,D10,ABEV3,L,0.1,0.07692307692307693,-0.023076923076923078,reweight,Food & Beverage,4,0,4.886505262,,
2011-04-29,2011-05-02,0,D10,CNFB4,L,0.1,0.07692307692307693,-0.023076923076923078,reweight,Basic & Fabricated Metal,4,0,4.243608859,,
2011-04-29,2011-05-02,0,D10,CTIP3,L,0.0,0.07692307692307693,0.07692307692307693,add,Financial Services,1,0,21.20299379,,
2011-04-29,2011-05-02,0,D10,EGIE3,L,0.1,0.0,-0.1,exit,Electric Power,3,0,9.407303956,,
2011-04-29,2011-05-02,0,D10,ENEV3,L,0.0,0.07692307692307693,0.07692307692307693,add,Electric Power,1,0,127.3707974,,
2011-04-29,2011-05-02,0,D10,EZTC3,L,0.1,0.07692307692307693,-0.023076923076923078,reweight,Construction,4,0,6.525109137,,
2011-04-29,2011-05-02,0,D10,GETI3,L,0.1,0.07692307692307693,-0.023076923076923078,reweight,Electric Power,4,0,13.77139164,,
2011-04-29,2011-05-02,0,D10,LPSB3,L,0.1,0.07692307692307693,-0.023076923076923078,reweight,Other,4,0,17.66519834,,
2011-04-29,2011-05-02,0,D10,MILS3,L,0.0,0.07692307692307693,0.07692307692307693,add,Other,1,0,17.35361037,,
2011-04-29,2011-05-02,0,D10,ODPV3,L,0.1,0.07692307692307693,-0.023076923076923078,reweight,Other,4,0,4.178614802,,
2011-04-29,2011-05-02,0,D10,POMO4,L,0.1,0.07692307692307693,-0.023076923076923078,reweight,Vehicle & Parts,4,0,1.704739683,,
2011-04-29,2011-05-02,0,D10,RPMG3,L,0.1,0.0,-0.1,exit,Oil & Gas,3,0,9.377630442,,
2011-04-29,2011-05-02,0,D10,TGMA3,L,0.0,0.07692307692307693,0.07692307692307693,add,Transportation Services,1,0,14.8432279,,
2011-04-29,2011-05-02,0,D10,TOTS3,L,0.1,0.07692307692307693,-0.023076923076923078,reweight,Software & Data,4,0,7.953349001,,
2011-04-29,2011-05-02,0,D10,VALE3,L,0.0,0.07692307692307693,0.07692307692307693,add,Mining,1,0,20.54876301,,
2011-04-29,2011-05-02,1,D10,ABEV3,L,0.1,0.1,0.0,keep,Food & Beverage,4,0,4.886505262,,
2011-04-29,2011-05-02,1,D10,CNFB4,L,0.1,0.1,0.0,keep,Basic & Fabricated Metal,4,0,4.243608859,,
