month_end,trade_date,cohort_id,book,ticker,side,prev_weight,target_weight,delta_weight,rationale,sector,duration_months,strikes,px_ref_open,vt_prev,vt_curr
2014-03-31,2014-04-01,0,D10,AEDU3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Other,6,0,13.8925328,,
2014-03-31,2014-04-01,0,D10,AMER3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Trade,6,0,2335.517605,,
2014-03-31,2014-04-01,0,D10,APER3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Financial Services,1,0,189.3431888,,
2014-03-31,2014-04-01,0,D10,BRFS3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Food & Beverage,6,0,42.02745432,,
2014-03-31,2014-04-01,0,D10,COGN3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Other,6,0,10.47923286,,
2014-03-31,2014-04-01,0,D10,EZTC3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Construction,39,0,11.96678989,,
2014-03-31,2014-04-01,0,D10,GRND3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Textile,6,0,2.409370568,,
2014-03-31,2014-04-01,0,D10,LAND3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Other,6,0,22.0265168,,
2014-03-31,2014-04-01,0,D10,PFRM3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Trade,6,0,12.19266828,,
2014-03-31,2014-04-01,0,D10,PSSA3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Financial Services,6,0,8.854890419,,
2014-03-31,2014-04-01,0,D10,SIMH3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Transportation Services,6,0,2.648437284,,
2014-03-31,2014-04-01,0,D10,TIMS3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Telecommunication,30,0,7.465214161,,
2014-03-31,2014-04-01,0,D10,USIM5,L,0.06666666666666667,0.06666666666666667,0.0,keep,Basic & Fabricated Metal,6,0,7.875695472,,
2014-03-31,2014-04-01,0,D10,VALE3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Mining,36,0,14.67291765,,
