month_end,trade_date,cohort_id,book,ticker,side,prev_weight,target_weight,delta_weight,rationale,sector,duration_months,strikes,px_ref_open,delist_risk_score,delist_risk_flags,delist_risk_multiplier,vt_prev,vt_curr
2023-05-31,2023-06-01,0,D10,AALR3,L,0.04347826086956524,0.04347826086956524,0.0,keep,Other,1,0,23.3,0,,1.0,,
2023-05-31,2023-06-01,0,D10,ASAI3,L,0.04347826086956524,0.04347826086956524,0.0,keep,Trade,11,0,10.65643012,0,,1.0,,
2023-05-31,2023-06-01,0,D10,BBSE3,L,0.04347826086956524,0.04347826086956524,0.0,keep,Financial Services,5,0,24.33952048,0,,1.0,,
2023-05-31,2023-06-01,0,D10,CIEL3,L,0.04347826086956524,0.04347826086956524,0.0,keep,Software & Data,11,0,4.299015071,0,,1.0,,
2023-05-31,2023-06-01,0,D10,CPFE3,L,0.04347826086956524,0.04347826086956524,0.0,keep,Electric Power,11,0,25.42379802,0,,1.0,,
2023-05-31,2023-06-01,0,D10,CRFB3,L,0.04347826086956524,0.04347826086956524,0.0,keep,Trade,1,0,9.273400617,0,,1.0,,
2023-05-31,2023-06-01,0,D10,CURY3,L,0.04347826086956524,0.04347826086956524,0.0,keep,Construction,5,0,11.50287281,0,,1.0,,
2023-05-31,2023-06-01,0,D10,DIRR3,L,0.04347826086956524,0.04347826086956524,0.0,keep,Construction,14,1,4.818560584,0,,1.0,,
2023-05-31,2023-06-01,0,D10,ELET3,L,0.04347826086956524,0.04347826086956524,0.0,keep,Electric Power,5,1,32.04108811,0,,1.0,,
2023-05-31,2023-06-01,0,D10,HYPE3,L,0.04347826086956524,0.04347826086956524,0.0,keep,Other,8,0,36.63716433,0,,1.0,,
2023-05-31,2023-06-01,0,D10,KEPL3,L,0.04347826086956524,0.04347826086956524,0.0,keep,Basic & Fabricated Metal,14,0,6.799649308,0,,1.0,,
2023-05-31,2023-06-01,0,D10,LOGN3,L,0.04347826086956524,0.04347826086956524,0.0,keep,Transportation Services,17,1,49.9,0,,1.0,,
2023-05-31,2023-06-01,0,D10,MDIA3,L,0.04347826086956524,0.04347826086956524,0.0,keep,Food & Beverage,5,0,37.05989957,0,,1.0,,
2023-05-31,2023-06-01,0,D10,MILS3,L,0.04347826086956524,0.04347826086956524,0.0,keep,Other,8,0,10.8292047,0,,1.0,,
2023-05-31,2023-06-01,0,D10,ORVR3,L,0.04347826086956524,0.04347826086956524,0.0,keep,Other,5,0,36.9,0,,1.0,,
2023-05-31,2023-06-01,0,D10,RADL3,L,0.04347826086956524,0.04347826086956524,0.0,keep,Trade,5,0,27.39834784,0,,1.0,,
2023-05-31,2023-06-01,0,D10,RANI3,L,0.04347826086956524,0.04347826086956524,0.0,keep,Pulp & Paper,8,0,7.027244226,0,,1.0,,
2023-05-31,2023-06-01,0,D10,SBSP3,L,0.04347826086956524,0.04347826086956524,0.0,keep,Other,11,0,50.0997932,0,,1.0,,
2023-05-31,2023-06-01,0,D10,TGMA3,L,0.04347826086956524,0.04347826086956524,0.0,keep,Transportation Services,5,0,18.41086511,0,,1.0,,
2023-05-31,2023-06-01,0,D10,TUPY3,L,0.04347826086956524,0.04347826086956524,0.0,keep,Vehicle & Parts,8,0,23.47842702,0,,1.0,,
2023-05-31,2023-06-01,0,D10,UNIP6,L,0.04347826086956524,0.04347826086956524,0.0,keep,Chemical,14,0,51.59124295,0,,1.0,,
2023-05-31,2023-06-01,0,D10,VALE3,L,0.04347826086956524,0.04347826086956524,0.0,keep,Mining,1,0,52.04204128,0,,1.0,,
2023-05-31,2023-06-01,0,D10,VULC3,L,0.04347826086956524,0.04347826086956524,0.0,keep,Textile,11,0,12.29481824,0,,1.0,,
2023-05-31,2023-06-01,1,D10,AALR3,L,0.04395604395604397,0.039999999999999994,-0.0039560439560439795,reweight,Other,4,0,23.3,0,,1.0,,
2023-05-31,2023-06-01,1,D10,ABEV3,L,0.0,0.039999999999999994,0.039999999999999994,add,Food & Beverage,1,0,12.56032883,0,,1.0,,
2023-05-31,2023-06-01,1,D10,ASAI3,L,0.04395604395604397,0.0,-0.04395604395604397,exit,Trade,15,0,10.65643012,0,,1.0,,
2023-05-31,2023-06-01,1,D10,BBSE3,L,0.04395604395604397,0.039999999999999994,-0.0039560439560439795,reweight,Financial Services,4,1,24.33952048,0,,1.0,,
2023-05-31,2023-06-01,1,D10,BOAS3,L,0.0,0.039999999999999994,0.039999999999999994,add,Software & Data,1,0,7.59,0,,1.0,,
2023-05-31,2023-06-01,1,D10,CIEL3,L,0.04395604395604397,0.039999999999999994,-0.0039560439560439795,reweight,Software & Data,10,0,4.299015071,0,,1.0,,
2023-05-31,2023-06-01,1,D10,CSMG3,L,0.0,0.039999999999999994,0.039999999999999994,add,Other,1,0,15.39301319,0,,1.0,,
2023-05-31,2023-06-01,1,D10,CURY3,L,0.04395604395604397,0.039999999999999994,-0.0039560439560439795,reweight,Construction,7,0,11.50287281,0,,1.0,,
2023-05-31,2023-06-01,1,D10,DIRR3,L,0.04395604395604397,0.039999999999999994,-0.0039560439560439795,reweight,Construction,4,0,4.818560584,0,,1.0,,
2023-05-31,2023-06-01,1,D10,EMBR3,L,0.0,0.039999999999999994,0.039999999999999994,add,Vehicle & Parts,1,1,18.94048356,0,,1.0,,
2023-05-31,2023-06-01,1,D10,GMAT3,L,0.04395604395604397,0.039999999999999994,-0.0039560439560439795,reweight,Trade,4,0,7.033025521,0,,1.0,,
2023-05-31,2023-06-01,1,D10,GOAU4,L,0.0,0.039999999999999994,0.039999999999999994,add,Basic & Fabricated Metal,1,0,9.592589124,0,,1.0,,
2023-05-31,2023-06-01,1,D10,HYPE3,L,0.04395604395604397,0.0,-0.04395604395604397,exit,Other,6,0,36.63716433,0,,1.0,,
2023-05-31,2023-06-01,1,D10,LOGN3,L,0.04395604395604397,0.0,-0.04395604395604397,exit,Transportation Services,15,0,49.9,0,,1.0,,
2023-05-31,2023-06-01,1,D10,MDIA3,L,0.04395604395604397,0.039999999999999994,-0.0039560439560439795,reweight,Food & Beverage,7,0,37.05989957,0,,1.0,,
2023-05-31,2023-06-01,1,D10,MEAL3,L,0.03296703296703298,0.0,-0.03296703296703298,exit,Trade,0,0,2.18,0,,1.0,,
2023-05-31,2023-06-01,1,D10,MILS3,L,0.04395604395604397,0.039999999999999994,-0.0039560439560439795,reweight,Other,7,0,10.8292047,0,,1.0,,
2023-05-31,2023-06-01,1,D10,ONCO3,L,0.0,0.039999999999999994,0.039999999999999994,add,Other,1,0,11.03,0,,1.0,,
2023-05-31,2023-06-01,1,D10,ORVR3,L,0.04395604395604397,0.039999999999999994,-0.0039560439560439795,reweight,Other,7,0,36.9,0,,1.0,,
2023-05-31,2023-06-01,1,D10,PETR4,L,0.0,0.039999999999999994,0.039999999999999994,add,Oil & Gas,1,1,17.72557999,0,,1.0,,
2023-05-31,2023-06-01,1,D10,PLPL3,L,0.0,0.039999999999999994,0.039999999999999994,add,Construction,1,0,6.511217812,0,,1.0,,
2023-05-31,2023-06-01,1,D10,POSI3,L,0.04395604395604397,0.0,-0.04395604395604397,exit,Electric Electron,3,0,6.247562042,0,,1.0,,
2023-05-31,2023-06-01,1,D10,PRIO3,L,0.0,0.039999999999999994,0.039999999999999994,add,Oil & Gas,1,1,34.23501224,0,,1.0,,
2023-05-31,2023-06-01,1,D10,RADL3,L,0.04395604395604397,0.039999999999999994,-0.0039560439560439795,reweight,Trade,10,1,27.39834784,0,,1.0,,
2023-05-31,2023-06-01,1,D10,RANI3,L,0.04395604395604397,0.039999999999999994,-0.0039560439560439795,reweight,Pulp & Paper,10,0,7.027244226,0,,1.0,,
2023-05-31,2023-06-01,1,D10,SBSP3,L,0.04395604395604397,0.039999999999999994,-0.0039560439560439795,reweight,Other,10,0,50.0997932,0,,1.0,,
2023-05-31,2023-06-01,1,D10,STBP3,L,0.04395604395604397,0.039999999999999994,-0.0039560439560439795,reweight,Transportation Services,7,1,7.744209791,0,,1.0,,
2023-05-31,2023-06-01,1,D10,TGMA3,L,0.04395604395604397,0.039999999999999994,-0.0039560439560439795,reweight,Transportation Services,7,0,18.41086511,0,,1.0,,
2023-05-31,2023-06-01,1,D10,TTEN3,L,0.0,0.039999999999999994,0.039999999999999994,add,Agriculture & Fisheries,1,0,11.89933997,0,,1.0,,
2023-05-31,2023-06-01,1,D10,TUPY3,L,0.04395604395604397,0.0,-0.04395604395604397,exit,Vehicle & Parts,6,0,23.47842702,0,,1.0,,
2023-05-31,2023-06-01,1,D10,UNIP6,L,0.04395604395604397,0.0,-0.04395604395604397,exit,Chemical,12,0,51.59124295,0,,1.0,,
2023-05-31,2023-06-01,1,D10,VALE3,L,0.04395604395604397,0.0,-0.04395604395604397,exit,Mining,0,0,52.04204128,0,,1.0,,
2023-05-31,2023-06-01,1,D10,VULC3,L,0.04395604395604397,0.039999999999999994,-0.0039560439560439795,reweight,Textile,10,0,12.29481824,0,,1.0,,
2023-05-31,2023-06-01,2,D10,AALR3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Other,3,0,23.3,0,,1.0,,
2023-05-31,2023-06-01,2,D10,ASAI3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Trade,12,0,10.65643012,0,,1.0,,
2023-05-31,2023-06-01,2,D10,BBSE3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Financial Services,9,2,24.33952048,0,,1.0,,
2023-05-31,2023-06-01,2,D10,BEEF3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Food & Beverage,12,2,8.933296447,0,,1.0,,
2023-05-31,2023-06-01,2,D10,CIEL3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Software & Data,12,0,4.299015071,0,,1.0,,
2023-05-31,2023-06-01,2,D10,CPFE3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Electric Power,12,0,25.42379802,0,,1.0,,
2023-05-31,2023-06-01,2,D10,CURY3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Construction,9,0,11.50287281,0,,1.0,,
2023-05-31,2023-06-01,2,D10,DIRR3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Construction,3,1,4.818560584,0,,1.0,,
2023-05-31,2023-06-01,2,D10,GMAT3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Trade,6,0,7.033025521,0,,1.0,,
2023-05-31,2023-06-01,2,D10,HYPE3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Other,9,0,36.63716433,0,,1.0,,
2023-05-31,2023-06-01,2,D10,KEPL3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Basic & Fabricated Metal,12,0,6.799649308,0,,1.0,,
2023-05-31,2023-06-01,2,D10,LEVE3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Vehicle & Parts,3,0,29.61988389,0,,1.0,,
2023-05-31,2023-06-01,2,D10,LOGN3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Transportation Services,18,1,49.9,0,,1.0,,
2023-05-31,2023-06-01,2,D10,MDIA3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Food & Beverage,6,0,37.05989957,0,,1.0,,
