month_end,trade_date,cohort_id,book,ticker,side,prev_weight,target_weight,delta_weight,rationale,sector,duration_months,strikes,px_ref_open,vt_prev,vt_curr
2017-04-28,2017-05-02,0,D10,BRAP4,L,0.08333333333333333,0.07692307692307693,-0.006410256410256401,reweight,Other,4,0,3.759316713,,
2017-04-28,2017-05-02,0,D10,BRSR6,L,0.08333333333333333,0.07692307692307693,-0.006410256410256401,reweight,Financial Services,7,0,7.60061416,,
2017-04-28,2017-05-02,0,D10,CSMG3,L,0.08333333333333333,0.07692307692307693,-0.006410256410256401,reweight,Other,10,0,5.706244738,,
2017-04-28,2017-05-02,0,D10,CSUD3,L,0.0,0.07692307692307693,0.07692307692307693,add,Other,1,0,6.417295077,,
2017-04-28,2017-05-02,0,D10,CZLT33,L,0.08333333333333333,0.0,-0.08333333333333333,exit,Food & Beverage,0,0,25.03992845,,
2017-04-28,2017-05-02,0,D10,DIRR3,L,0.08333333333333333,0.0,-0.08333333333333333,exit,Construction,6,0,1.153368055,,
2017-04-28,2017-05-02,0,D10,ELET3,L,0.08333333333333333,0.07692307692307693,-0.006410256410256401,reweight,Electric Power,10,0,13.88681995,,
2017-04-28,2017-05-02,0,D10,FLRY3,L,0.08333333333333333,0.07692307692307693,-0.006410256410256401,reweight,Other,7,0,17.23681774,,
2017-04-28,2017-05-02,0,D10,GOLL54,L,0.08333333333333333,0.07692307692307693,-0.006410256410256401,reweight,Transportation Services,7,0,0.131202006,,
2017-04-28,2017-05-02,0,D10,HBOR3,L,0.0,0.07692307692307693,0.07692307692307693,add,Construction,1,0,10.14673503,,
2017-04-28,2017-05-02,0,D10,LIGT3,L,0.0,0.07692307692307693,0.07692307692307693,add,Electric Power,1,0,20.19091173,,
2017-04-28,2017-05-02,0,D10,MDIA3,L,0.08333333333333333,0.07692307692307693,-0.006410256410256401,reweight,Food & Beverage,7,0,40.9495174,,
2017-04-28,2017-05-02,0,D10,MGLU3,L,0.08333333333333333,0.07692307692307693,-0.006410256410256401,reweight,Trade,7,0,8.422253479,,
2017-04-28,2017-05-02,0,D10,PETR4,L,0.08333333333333333,0.07692307692307693,-0.006410256410256401,reweight,Oil & Gas,4,0,3.725164146,,
2017-04-28,2017-05-02,0,D10,RAPT4,L,0.0,0.07692307692307693,0.07692307692307693,add,Vehicle & Parts,1,0,3.485627405,,
2017-04-28,2017-05-02,0,D10,SEER3,L,0.08333333333333333,0.0,-0.08333333333333333,exit,Other,3,0,20.03634357,,
2017-04-28,2017-05-02,1,D10,AZZA3,L,0.07692307692307693,0.07692307692307693,0.0,keep,Textile,3,0,27.4805057,,
2017-04-28,2017-05-02,1,D10,BBAS3,L,0.07692307692307693,0.07692307692307693,0.0,keep,Financial Services,3,1,9.202353014,,
2017-04-28,2017-05-02,1,D10,BRAP4,L,0.07692307692307693,0.07692307692307693,0.0,keep,Other,3,0,3.759316713,,
2017-04-28,2017-05-02,1,D10,BRSR6,L,0.07692307692307693,0.07692307692307693,0.0,keep,Financial Services,6,0,7.60061416,,
2017-04-28,2017-05-02,1,D10,CSMG3,L,0.07692307692307693,0.07692307692307693,0.0,keep,Other,9,0,5.706244738,,
2017-04-28,2017-05-02,1,D10,CZLT33,L,0.07692307692307693,0.07692307692307693,0.0,keep,Food & Beverage,1,0,25.03992845,,
2017-04-28,2017-05-02,1,D10,ELET3,L,0.07692307692307693,0.07692307692307693,0.0,keep,Electric Power,9,0,13.88681995,,
2017-04-28,2017-05-02,1,D10,FLRY3,L,0.07692307692307693,0.07692307692307693,0.0,keep,Other,6,0,17.23681774,,
2017-04-28,2017-05-02,1,D10,MDIA3,L,0.07692307692307693,0.07692307692307693,0.0,keep,Food & Beverage,9,0,40.9495174,,
2017-04-28,2017-05-02,1,D10,MGLU3,L,0.07692307692307693,0.07692307692307693,0.0,keep,Trade,9,0,8.422253479,,
2017-04-28,2017-05-02,1,D10,PETR4,L,0.07692307692307693,0.07692307692307693,0.0,keep,Oil & Gas,3,0,3.725164146,,
2017-04-28,2017-05-02,1,D10,RAPT4,L,0.07692307692307693,0.07692307692307693,0.0,keep,Vehicle & Parts,6,0,3.485627405,,
2017-04-28,2017-05-02,1,D10,SEER3,L,0.07692307692307693,0.07692307692307693,0.0,keep,Other,6,0,20.03634357,,
2017-04-28,2017-05-02,2,D10,ALPA4,L,0.0625,0.0625,0.0,keep,Textile,8,0,9.765506785,,
2017-04-28,2017-05-02,2,D10,BRAP4,L,0.0625,0.0625,0.0,keep,Other,5,0,3.759316713,,
2017-04-28,2017-05-02,2,D10,BRSR6,L,0.0625,0.0625,0.0,keep,Financial Services,8,0,7.60061416,,
2017-04-28,2017-05-02,2,D10,CSMG3,L,0.0625,0.0625,0.0,keep,Other,11,0,5.706244738,,
2017-04-28,2017-05-02,2,D10,CSUD3,L,0.0625,0.0625,0.0,keep,Other,2,0,6.417295077,,
2017-04-28,2017-05-02,2,D10,ELET3,L,0.0625,0.0625,0.0,keep,Electric Power,8,0,13.88681995,,
2017-04-28,2017-05-02,2,D10,FLRY3,L,0.0625,0.0625,0.0,keep,Other,5,0,17.23681774,,
2017-04-28,2017-05-02,2,D10,GOLL54,L,0.0625,0.0625,0.0,keep,Transportation Services,5,0,0.131202006,,
2017-04-28,2017-05-02,2,D10,HBOR3,L,0.0625,0.0625,0.0,keep,Construction,2,0,10.14673503,,
2017-04-28,2017-05-02,2,D10,LINX3,L,0.0625,0.0625,0.0,keep,Software & Data,14,0,16.98125976,,
2017-04-28,2017-05-02,2,D10,MDIA3,L,0.0625,0.0625,0.0,keep,Food & Beverage,8,0,40.9495174,,
2017-04-28,2017-05-02,2,D10,MGLU3,L,0.0625,0.0625,0.0,keep,Trade,8,0,8.422253479,,
2017-04-28,2017-05-02,2,D10,PETR4,L,0.0625,0.0625,0.0,keep,Oil & Gas,5,0,3.725164146,,
2017-04-28,2017-05-02,2,D10,POMO4,L,0.0625,0.0625,0.0,keep,Vehicle & Parts,8,2,1.41389101,,
2017-04-28,2017-05-02,2,D10,RSID3,L,0.0625,0.0625,0.0,keep,Construction,2,0,6.28,,
2017-04-28,2017-05-02,2,D10,SANB11,L,0.0625,0.0625,0.0,keep,Financial Services,2,0,16.2512077,,
2017-04-28,2017-05-02,0,LS,BRAP4,L,0.03225443503349626,0.02711351025053424,-0.00514092478296202,reweight,Other,4,0,3.759316713,0.7095975707369176,0.7049512665138901
2017-04-28,2017-05-02,0,LS,BRSR6,L,0.03225443503349626,0.02711351025053424,-0.00514092478296202,reweight,Financial Services,7,0,7.60061416,0.7095975707369176,0.7049512665138901
2017-04-28,2017-05-02,0,LS,CSMG3,L,0.03225443503349626,0.02711351025053424,-0.00514092478296202,reweight,Other,10,0,5.706244738,0.7095975707369176,0.7049512665138901
2017-04-28,2017-05-02,0,LS,CSUD3,L,0.0,0.02711351025053424,0.02711351025053424,add,Other,1,0,6.417295077,0.7095975707369176,0.7049512665138901
