month_end,trade_date,cohort_id,book,ticker,side,prev_weight,target_weight,delta_weight,rationale,sector,duration_months,strikes,px_ref_open,vt_prev,vt_curr
2015-01-30,2015-02-02,0,D10,BRML3,L,0.07692307692307693,0.1,0.023076923076923078,reweight,Other,19,0,9.274053326,,
2015-01-30,2015-02-02,0,D10,CMIG4,L,0.07692307692307693,0.1,0.023076923076923078,reweight,Electric Power,19,0,2.430883186,,
2015-01-30,2015-02-02,0,D10,CSMG3,L,0.07692307692307693,0.1,0.023076923076923078,reweight,Other,49,0,2.466669002,,
2015-01-30,2015-02-02,0,D10,CVCB3,L,0.07692307692307693,0.0,-0.07692307692307693,exit,Transportation Services,3,0,9.934644379,,
2015-01-30,2015-02-02,0,D10,DXCO3,L,0.07692307692307693,0.1,0.023076923076923078,reweight,Other,4,0,4.168437639,,
2015-01-30,2015-02-02,0,D10,ENAT3,L,0.07692307692307693,0.1,0.023076923076923078,reweight,Oil & Gas,4,0,3.216733932,,
2015-01-30,2015-02-02,0,D10,GFSA3,L,0.07692307692307693,0.1,0.023076923076923078,reweight,Construction,4,0,1898.62507,,
2015-01-30,2015-02-02,0,D10,GUAR3,L,0.07692307692307693,0.1,0.023076923076923078,reweight,Textile,4,0,7.680184614,,
2015-01-30,2015-02-02,0,D10,MBRF3,L,0.07692307692307693,0.0,-0.07692307692307693,exit,Food & Beverage,15,0,3.084245338,,
2015-01-30,2015-02-02,0,D10,MGLU3,L,0.07692307692307693,0.1,0.023076923076923078,reweight,Trade,19,0,1.92335895,,
2015-01-30,2015-02-02,0,D10,PSSA3,L,0.07692307692307693,0.1,0.023076923076923078,reweight,Financial Services,16,0,7.802040517,,
2015-01-30,2015-02-02,0,D10,TOTS3,L,0.07692307692307693,0.1,0.023076923076923078,reweight,Software & Data,4,0,9.569888144,,
2015-01-30,2015-02-02,0,D10,USIM5,L,0.07692307692307693,0.0,-0.07692307692307693,exit,Basic & Fabricated Metal,0,0,2.620124369,,
2015-01-30,2015-02-02,1,D10,BRML3,L,0.07692307692307693,0.07692307692307693,0.0,keep,Other,21,0,9.274053326,,
2015-01-30,2015-02-02,1,D10,CMIG4,L,0.07692307692307693,0.07692307692307693,0.0,keep,Electric Power,21,0,2.430883186,,
2015-01-30,2015-02-02,1,D10,CSMG3,L,0.07692307692307693,0.07692307692307693,0.0,keep,Other,51,0,2.466669002,,
2015-01-30,2015-02-02,1,D10,DXCO3,L,0.07692307692307693,0.07692307692307693,0.0,keep,Other,15,0,4.168437639,,
2015-01-30,2015-02-02,1,D10,ENAT3,L,0.07692307692307693,0.07692307692307693,0.0,keep,Oil & Gas,3,0,3.216733932,,
2015-01-30,2015-02-02,1,D10,GETI3,L,0.07692307692307693,0.07692307692307693,0.0,keep,Electric Power,3,0,12.93400198,,
2015-01-30,2015-02-02,1,D10,GFSA3,L,0.07692307692307693,0.07692307692307693,0.0,keep,Construction,3,0,1898.62507,,
2015-01-30,2015-02-02,1,D10,GUAR3,L,0.07692307692307693,0.07692307692307693,0.0,keep,Textile,3,0,7.680184614,,
2015-01-30,2015-02-02,1,D10,MBRF3,L,0.07692307692307693,0.07692307692307693,0.0,keep,Food & Beverage,45,0,3.084245338,,
2015-01-30,2015-02-02,1,D10,MGLU3,L,0.07692307692307693,0.07692307692307693,0.0,keep,Trade,21,0,1.92335895,,
2015-01-30,2015-02-02,1,D10,PSSA3,L,0.07692307692307693,0.07692307692307693,0.0,keep,Financial Services,15,0,7.802040517,,
2015-01-30,2015-02-02,1,D10,TOTS3,L,0.07692307692307693,0.07692307692307693,0.0,keep,Software & Data,3,0,9.569888144,,
