month_end,trade_date,cohort_id,book,ticker,side,prev_weight,target_weight,delta_weight,rationale,sector,duration_months,strikes,px_ref_open,delist_risk_score,delist_risk_flags,delist_risk_multiplier,vt_prev,vt_curr
2013-01-31,2013-02-01,0,D10,ALOS3,L,0.09302325581395347,0.07692307692307694,-0.016100178890876532,reweight,Other,10,0,22.38013963,0,,1.0,,
2013-01-31,2013-02-01,0,D10,AMER3,L,0.09302325581395347,0.0,-0.09302325581395347,exit,Trade,0,0,1278.672694,0,,1.0,,
2013-01-31,2013-02-01,0,D10,ARTR3,L,0.0,0.07692307692307694,0.07692307692307694,add,Transportation Services,1,0,18.99538478,0,,1.0,,
2013-01-31,2013-02-01,0,D10,BEEF3,L,0.0,0.07692307692307694,0.07692307692307694,add,Food & Beverage,1,0,8.830455313,0,,1.0,,
2013-01-31,2013-02-01,0,D10,BRAP4,L,0.09302325581395347,0.0,-0.09302325581395347,exit,Other,21,0,4.401299041,0,,1.0,,
2013-01-31,2013-02-01,0,D10,BRML3,L,0.09302325581395347,0.07692307692307694,-0.016100178890876532,reweight,Other,4,0,14.76327408,0,,1.0,,
2013-01-31,2013-02-01,0,D10,BRPR3,L,0.09302325581395347,0.07692307692307694,-0.016100178890876532,reweight,Other,4,0,121.8152123,0,,1.0,,
2013-01-31,2013-02-01,0,D10,CMIG4,L,0.0,0.07692307692307694,0.07692307692307694,add,Electric Power,1,0,2.222058254,0,,1.0,,
2013-01-31,2013-02-01,0,D10,COCE5,L,0.0697674418604651,0.0,-0.0697674418604651,exit,Electric Power,0,0,27.35878153,0,,1.0,,
2013-01-31,2013-02-01,0,D10,CPLE6,L,0.09302325581395347,0.07692307692307694,-0.016100178890876532,reweight,Electric Power,4,0,1.349178438,0,,1.0,,
2013-01-31,2013-02-01,0,D10,CSMG3,L,0.09302325581395347,0.07692307692307694,-0.016100178890876532,reweight,Other,25,1,6.807853323,0,,1.0,,
2013-01-31,2013-02-01,0,D10,DAGB33,L,0.0,0.07692307692307694,0.07692307692307694,add,Trade,1,0,259.507696,0,,1.0,,
2013-01-31,2013-02-01,0,D10,EMBR3,L,0.09302325581395347,0.0,-0.09302325581395347,exit,Vehicle & Parts,3,0,15.42887324,0,,1.0,,
2013-01-31,2013-02-01,0,D10,GETI3,L,0.0,0.07692307692307694,0.07692307692307694,add,Electric Power,1,0,13.8237267,0,,1.0,,
2013-01-31,2013-02-01,0,D10,GOAU4,L,0.09302325581395347,0.07692307692307694,-0.016100178890876532,reweight,Basic & Fabricated Metal,4,0,11.83997295,0,,1.0,,
2013-01-31,2013-02-01,0,D10,MBRF3,L,0.09302325581395347,0.07692307692307694,-0.016100178890876532,reweight,Food & Beverage,7,0,6.272522762,0,,1.0,,
2013-01-31,2013-02-01,0,D10,PETR4,L,0.0,0.07692307692307694,0.07692307692307694,add,Oil & Gas,1,0,4.345880817,0,,1.0,,
2013-01-31,2013-02-01,1,D10,ALOS3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Other,12,0,22.38013963,0,,1.0,,
2013-01-31,2013-02-01,1,D10,ARTR3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Transportation Services,3,0,18.99538478,0,,1.0,,
2013-01-31,2013-02-01,1,D10,BEEF3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Food & Beverage,1,0,8.830455313,0,,1.0,,
2013-01-31,2013-02-01,1,D10,BRAP4,L,0.07692307692307694,0.07692307692307694,0.0,keep,Other,21,1,4.401299041,0,,1.0,,
2013-01-31,2013-02-01,1,D10,BRML3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Other,6,0,14.76327408,0,,1.0,,
2013-01-31,2013-02-01,1,D10,BRPR3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Other,6,0,121.8152123,0,,1.0,,
2013-01-31,2013-02-01,1,D10,CPLE6,L,0.07692307692307694,0.07692307692307694,0.0,keep,Electric Power,3,0,1.349178438,0,,1.0,,
2013-01-31,2013-02-01,1,D10,GOAU4,L,0.07692307692307694,0.07692307692307694,0.0,keep,Basic & Fabricated Metal,6,0,11.83997295,0,,1.0,,
2013-01-31,2013-02-01,1,D10,GRND3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Textile,3,1,2.603197757,0,,1.0,,
2013-01-31,2013-02-01,1,D10,MBRF3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Food & Beverage,9,0,6.272522762,0,,1.0,,
2013-01-31,2013-02-01,1,D10,PETR4,L,0.07692307692307694,0.07692307692307694,0.0,keep,Oil & Gas,3,0,4.345880817,0,,1.0,,
2013-01-31,2013-02-01,1,D10,SIMH3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Transportation Services,3,2,2.804528016,0,,1.0,,
2013-01-31,2013-02-01,1,D10,SMTO3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Other,3,0,6.716148924,0,,1.0,,
2013-01-31,2013-02-01,2,D10,ALOS3,L,0.07142857142857145,0.07142857142857145,0.0,keep,Other,11,0,22.38013963,0,,1.0,,
2013-01-31,2013-02-01,2,D10,ARTR3,L,0.07142857142857145,0.07142857142857145,0.0,keep,Transportation Services,2,0,18.99538478,0,,1.0,,
2013-01-31,2013-02-01,2,D10,BEEF3,L,0.07142857142857145,0.07142857142857145,0.0,keep,Food & Beverage,2,0,8.830455313,0,,1.0,,
2013-01-31,2013-02-01,2,D10,BRPR3,L,0.07142857142857145,0.07142857142857145,0.0,keep,Other,5,0,121.8152123,0,,1.0,,
2013-01-31,2013-02-01,2,D10,CMIG4,L,0.07142857142857145,0.07142857142857145,0.0,keep,Electric Power,2,0,2.222058254,0,,1.0,,
2013-01-31,2013-02-01,2,D10,CPLE6,L,0.07142857142857145,0.07142857142857145,0.0,keep,Electric Power,2,0,1.349178438,0,,1.0,,
2013-01-31,2013-02-01,2,D10,CSMG3,L,0.07142857142857145,0.07142857142857145,0.0,keep,Other,29,1,6.807853323,0,,1.0,,
2013-01-31,2013-02-01,2,D10,DAGB33,L,0.07142857142857145,0.07142857142857145,0.0,keep,Trade,2,0,259.507696,0,,1.0,,
2013-01-31,2013-02-01,2,D10,GETI3,L,0.07142857142857145,0.07142857142857145,0.0,keep,Electric Power,2,0,13.8237267,0,,1.0,,
2013-01-31,2013-02-01,2,D10,GOAU4,L,0.07142857142857145,0.07142857142857145,0.0,keep,Basic & Fabricated Metal,5,0,11.83997295,0,,1.0,,
2013-01-31,2013-02-01,2,D10,MBRF3,L,0.07142857142857145,0.07142857142857145,0.0,keep,Food & Beverage,8,0,6.272522762,0,,1.0,,
2013-01-31,2013-02-01,2,D10,PETR4,L,0.07142857142857145,0.07142857142857145,0.0,keep,Oil & Gas,2,0,4.345880817,0,,1.0,,
2013-01-31,2013-02-01,2,D10,SHOW3,L,0.07142857142857145,0.07142857142857145,0.0,keep,Other,2,0,71.49718787,0,,1.0,,
2013-01-31,2013-02-01,2,D10,SMTO3,L,0.07142857142857145,0.07142857142857145,0.0,keep,Other,5,0,6.716148924,0,,1.0,,
2013-01-31,2013-02-01,0,LS,ALOS3,L,0.08114759726809465,0.05556638178467482,-0.025581215483419822,reweight,Other,10,0,22.38013963,0,,1.0,1.4606567508257038,1.4447259264015455
2013-01-31,2013-02-01,0,LS,ARTR3,L,0.0,0.05556638178467482,0.05556638178467482,add,Transportation Services,1,0,18.99538478,0,,1.0,1.4606567508257038,1.4447259264015455
2013-01-31,2013-02-01,0,LS,BEEF3,L,0.0,0.05556638178467482,0.05556638178467482,add,Food & Beverage,1,0,8.830455313,0,,1.0,1.4606567508257038,1.4447259264015455
2013-01-31,2013-02-01,0,LS,BRAP4,L,0.08114759726809465,0.0,-0.08114759726809465,exit,Other,21,0,4.401299041,0,,1.0,1.4606567508257038,1.4447259264015455
2013-01-31,2013-02-01,0,LS,BRML3,L,0.08114759726809465,0.05556638178467482,-0.025581215483419822,reweight,Other,4,0,14.76327408,0,,1.0,1.4606567508257038,1.4447259264015455
2013-01-31,2013-02-01,0,LS,BRPR3,L,0.08114759726809465,0.05556638178467482,-0.025581215483419822,reweight,Other,4,0,121.8152123,0,,1.0,1.4606567508257038,1.4447259264015455
2013-01-31,2013-02-01,0,LS,CMIG4,L,0.0,0.05556638178467482,0.05556638178467482,add,Electric Power,1,0,2.222058254,0,,1.0,1.4606567508257038,1.4447259264015455
2013-01-31,2013-02-01,0,LS,CPLE6,L,0.08114759726809465,0.05556638178467482,-0.025581215483419822,reweight,Electric Power,4,0,1.349178438,0,,1.0,1.4606567508257038,1.4447259264015455
2013-01-31,2013-02-01,0,LS,CSMG3,L,0.08114759726809465,0.05556638178467482,-0.025581215483419822,reweight,Other,25,1,6.807853323,0,,1.0,1.4606567508257038,1.4447259264015455
2013-01-31,2013-02-01,0,LS,DAGB33,L,0.0,0.05556638178467482,0.05556638178467482,add,Trade,1,0,259.507696,0,,1.0,1.4606567508257038,1.4447259264015455
2013-01-31,2013-02-01,0,LS,EMBR3,L,0.08114759726809465,0.0,-0.08114759726809465,exit,Vehicle & Parts,3,0,15.42887324,0,,1.0,1.4606567508257038,1.4447259264015455
2013-01-31,2013-02-01,0,LS,GETI3,L,0.0,0.05556638178467482,0.05556638178467482,add,Electric Power,1,0,13.8237267,0,,1.0,1.4606567508257038,1.4447259264015455
2013-01-31,2013-02-01,0,LS,GOAU4,L,0.08114759726809465,0.05556638178467482,-0.025581215483419822,reweight,Basic & Fabricated Metal,4,0,11.83997295,0,,1.0,1.4606567508257038,1.4447259264015455
2013-01-31,2013-02-01,0,LS,MBRF3,L,0.08114759726809465,0.05556638178467482,-0.025581215483419822,reweight,Food & Beverage,7,0,6.272522762,0,,1.0,1.4606567508257038,1.4447259264015455
2013-01-31,2013-02-01,0,LS,PETR4,L,0.0,0.05556638178467482,0.05556638178467482,add,Oil & Gas,1,0,4.345880817,0,,1.0,1.4606567508257038,1.4447259264015455
2013-01-31,2013-02-01,0,LS,AEDU3,S,-0.06639348867389563,-0.056655918682413556,0.009737569991482078,reweight,Other,10,0,12.84617323,0,,1.0,1.4606567508257038,1.4447259264015455
2013-01-31,2013-02-01,0,LS,AMIL3,S,0.0,-0.04249193901181017,-0.04249193901181017,add,Other,1,0,31.22,1,liquidity_slump,0.75,1.4606567508257038,1.4447259264015455
2013-01-31,2013-02-01,0,LS,AZZA3,S,-0.06639348867389563,-0.056655918682413556,0.009737569991482078,reweight,Textile,7,0,27.1904338,0,,1.0,1.4606567508257038,1.4447259264015455
2013-01-31,2013-02-01,0,LS,BISA3,S,0.0,-0.056655918682413556,-0.056655918682413556,add,Construction,1,0,3.37,0,,1.0,1.4606567508257038,1.4447259264015455
2013-01-31,2013-02-01,0,LS,BPHA3,S,-0.06639348867389563,-0.056655918682413556,0.009737569991482078,reweight,Trade,7,0,734.5,0,,1.0,1.4606567508257038,1.4447259264015455
2013-01-31,2013-02-01,0,LS,CPFE3,S,-0.06639348867389563,0.0,0.06639348867389563,exit,Electric Power,31,1,9.932774053,0,,1.0,1.4606567508257038,1.4447259264015455
2013-01-31,2013-02-01,0,LS,ENAT3,S,-0.06639348867389563,-0.056655918682413556,0.009737569991482078,reweight,Oil & Gas,4,0,7.516569684,0,,1.0,1.4606567508257038,1.4447259264015455
2013-01-31,2013-02-01,0,LS,EQTL3,S,0.0,-0.056655918682413556,-0.056655918682413556,add,Electric Power,1,0,2.942897592,0,,1.0,1.4606567508257038,1.4447259264015455
2013-01-31,2013-02-01,0,LS,MMXM3,S,-0.06639348867389563,-0.056655918682413556,0.009737569991482078,reweight,Mining,22,0,511.5,0,,1.0,1.4606567508257038,1.4447259264015455
2013-01-31,2013-02-01,0,LS,MOTV3,S,0.0,-0.056655918682413556,-0.056655918682413556,add,Transportation Services,1,0,12.77980599,0,,1.0,1.4606567508257038,1.4447259264015455
2013-01-31,2013-02-01,0,LS,MYPK3,S,-0.06639348867389563,0.0,0.06639348867389563,exit,Vehicle & Parts,6,0,16.89268214,0,,1.0,1.4606567508257038,1.4447259264015455
2013-01-31,2013-02-01,0,LS,ODPV3,S,-0.06639348867389563,0.0,0.06639348867389563,exit,Other,27,0,5.268170338,0,,1.0,1.4606567508257038,1.4447259264015455
2013-01-31,2013-02-01,0,LS,OSXB3,S,0.0,-0.056655918682413556,-0.056655918682413556,add,Vehicle & Parts,1,0,911.0,0,,1.0,1.4606567508257038,1.4447259264015455
2013-01-31,2013-02-01,0,LS,QUAL3,S,-0.06639348867389563,0.0,0.06639348867389563,exit,Other,9,0,11.29642149,0,,1.0,1.4606567508257038,1.4447259264015455
2013-01-31,2013-02-01,0,LS,TAEE11,S,-0.06639348867389563,-0.056655918682413556,0.009737569991482078,reweight,Electric Power,4,0,5.954520907,0,,1.0,1.4606567508257038,1.4447259264015455
