month_end,trade_date,cohort_id,book,ticker,side,prev_weight,target_weight,delta_weight,rationale,sector,duration_months,strikes,px_ref_open,vt_prev,vt_curr
2024-12-30,2025-01-02,0,D10,BEEF3,L,0.047619047619047616,0.047619047619047616,0.0,keep,Food & Beverage,15,0,4.515596542,,
2024-12-30,2025-01-02,0,D10,BMOB3,L,0.047619047619047616,0.047619047619047616,0.0,keep,Software & Data,24,1,12.83275577,,
2024-12-30,2025-01-02,0,D10,CEAB3,L,0.047619047619047616,0.047619047619047616,0.0,keep,Trade,39,1,7.88754893,,
2024-12-30,2025-01-02,0,D10,CMIG4,L,0.047619047619047616,0.047619047619047616,0.0,keep,Electric Power,15,0,10.04769877,,
2024-12-30,2025-01-02,0,D10,CPFE3,L,0.047619047619047616,0.047619047619047616,0.0,keep,Electric Power,21,0,29.33192777,,
2024-12-30,2025-01-02,0,D10,GGBR4,L,0.047619047619047616,0.047619047619047616,0.0,keep,Basic & Fabricated Metal,15,0,17.70607264,,
2024-12-30,2025-01-02,0,D10,GOLL54,L,0.047619047619047616,0.047619047619047616,0.0,keep,Transportation Services,18,0,0.018724568,,
2024-12-30,2025-01-02,0,D10,GUAR3,L,0.047619047619047616,0.047619047619047616,0.0,keep,Textile,27,1,6.048867844,,
2024-12-30,2025-01-02,0,D10,LIGT3,L,0.047619047619047616,0.047619047619047616,0.0,keep,Electric Power,1,0,4.09,,
2024-12-30,2025-01-02,0,D10,LJQQ3,L,0.047619047619047616,0.047619047619047616,0.0,keep,Trade,6,0,2.17,,
2024-12-30,2025-01-02,0,D10,NEOE3,L,0.047619047619047616,0.047619047619047616,0.0,keep,Electric Power,21,0,18.43764243,,
2024-12-30,2025-01-02,0,D10,PCAR3,L,0.047619047619047616,0.047619047619047616,0.0,keep,Trade,15,0,2.56,,
2024-12-30,2025-01-02,0,D10,PETR4,L,0.047619047619047616,0.047619047619047616,0.0,keep,Oil & Gas,1,0,34.51592943,,
2024-12-30,2025-01-02,0,D10,QUAL3,L,0.047619047619047616,0.047619047619047616,0.0,keep,Other,21,0,1.525378827,,
2024-12-30,2025-01-02,0,D10,RAIZ4,L,0.047619047619047616,0.047619047619047616,0.0,keep,Agriculture & Fisheries,15,0,2.16,,
2024-12-30,2025-01-02,0,D10,RANI3,L,0.047619047619047616,0.047619047619047616,0.0,keep,Pulp & Paper,9,0,6.237804079,,
2024-12-30,2025-01-02,0,D10,SEER3,L,0.047619047619047616,0.047619047619047616,0.0,keep,Other,9,0,4.374092851,,
2024-12-30,2025-01-02,0,D10,SYNE3,L,0.047619047619047616,0.047619047619047616,0.0,keep,Other,3,0,5.106459989,,
2024-12-30,2025-01-02,0,D10,TIMS3,L,0.047619047619047616,0.047619047619047616,0.0,keep,Telecommunication,3,4,13.214729,,
2024-12-30,2025-01-02,0,D10,VLID3,L,0.047619047619047616,0.047619047619047616,0.0,keep,Other,24,0,22.71928677,,
2024-12-30,2025-01-02,0,D10,WIZC3,L,0.047619047619047616,0.047619047619047616,0.0,keep,Financial Services,3,0,5.388238424,,
2024-12-30,2025-01-02,1,D10,ALOS3,L,0.045454545454545456,0.045454545454545456,0.0,keep,Other,2,0,17.4330052,,
2024-12-30,2025-01-02,1,D10,BEEF3,L,0.045454545454545456,0.045454545454545456,0.0,keep,Food & Beverage,14,0,4.515596542,,
2024-12-30,2025-01-02,1,D10,BLAU3,L,0.045454545454545456,0.045454545454545456,0.0,keep,Chemical,2,0,12.96635303,,
2024-12-30,2025-01-02,1,D10,BMOB3,L,0.045454545454545456,0.045454545454545456,0.0,keep,Software & Data,23,0,12.83275577,,
2024-12-30,2025-01-02,1,D10,CEAB3,L,0.045454545454545456,0.045454545454545456,0.0,keep,Trade,38,1,7.88754893,,
2024-12-30,2025-01-02,1,D10,CMIG4,L,0.045454545454545456,0.045454545454545456,0.0,keep,Electric Power,14,0,10.04769877,,
2024-12-30,2025-01-02,1,D10,CPFE3,L,0.045454545454545456,0.045454545454545456,0.0,keep,Electric Power,23,0,29.33192777,,
2024-12-30,2025-01-02,1,D10,GGBR4,L,0.045454545454545456,0.045454545454545456,0.0,keep,Basic & Fabricated Metal,11,0,17.70607264,,
