month_end,trade_date,cohort_id,book,ticker,side,prev_weight,target_weight,delta_weight,rationale,sector,duration_months,strikes,px_ref_open,vt_prev,vt_curr
2023-07-31,2023-08-01,0,D10,ALOS3,L,0.0,0.041666666666666664,0.041666666666666664,add,Other,2,0,21.72522067,,
2023-07-31,2023-08-01,0,D10,BMOB3,L,0.047619047619047616,0.041666666666666664,-0.005952380952380952,reweight,Software & Data,7,0,11.92315799,,
2023-07-31,2023-08-01,0,D10,BRAP4,L,0.047619047619047616,0.041666666666666664,-0.005952380952380952,reweight,Other,22,0,18.36543011,,
2023-07-31,2023-08-01,0,D10,CEAB3,L,0.047619047619047616,0.041666666666666664,-0.005952380952380952,reweight,Trade,22,0,5.392724426,,
2023-07-31,2023-08-01,0,D10,CPFE3,L,0.047619047619047616,0.041666666666666664,-0.005952380952380952,reweight,Electric Power,4,0,29.92314122,,
2023-07-31,2023-08-01,0,D10,ENBR3,L,0.047619047619047616,0.041666666666666664,-0.005952380952380952,reweight,Electric Power,7,1,23.9,,
2023-07-31,2023-08-01,0,D10,GOLL54,L,0.0,0.041666666666666664,0.041666666666666664,add,Transportation Services,1,0,0.123660166,,
2023-07-31,2023-08-01,0,D10,GUAR3,L,0.047619047619047616,0.041666666666666664,-0.005952380952380952,reweight,Textile,10,1,7.091959255,,
2023-07-31,2023-08-01,0,D10,JALL3,L,0.047619047619047616,0.041666666666666664,-0.005952380952380952,reweight,Other,25,0,8.327937333,,
2023-07-31,2023-08-01,0,D10,JBSS3,L,0.047619047619047616,0.041666666666666664,-0.005952380952380952,reweight,Food & Beverage,13,0,16.07776889,,
2023-07-31,2023-08-01,0,D10,JHSF3,L,0.047619047619047616,0.041666666666666664,-0.005952380952380952,reweight,Construction,10,0,4.788636338,,
2023-07-31,2023-08-01,0,D10,MEAL3,L,0.0,0.041666666666666664,0.041666666666666664,add,Trade,1,0,2.64,,
2023-07-31,2023-08-01,0,D10,MOTV3,L,0.047619047619047616,0.0,-0.047619047619047616,exit,Transportation Services,0,0,12.34514923,,
2023-07-31,2023-08-01,0,D10,NEOE3,L,0.047619047619047616,0.041666666666666664,-0.005952380952380952,reweight,Electric Power,4,0,17.8639901,,
2023-07-31,2023-08-01,0,D10,PETR4,L,0.047619047619047616,0.041666666666666664,-0.005952380952380952,reweight,Oil & Gas,16,0,22.32608414,,
2023-07-31,2023-08-01,0,D10,PGMN3,L,0.047619047619047616,0.041666666666666664,-0.005952380952380952,reweight,Trade,4,0,3.479502748,,
2023-07-31,2023-08-01,0,D10,POSI3,L,0.047619047619047616,0.041666666666666664,-0.005952380952380952,reweight,Electric Electron,4,0,7.579159207,,
2023-07-31,2023-08-01,0,D10,PRNR3,L,0.0,0.041666666666666664,0.041666666666666664,add,Construction,1,0,11.73022287,,
2023-07-31,2023-08-01,0,D10,QUAL3,L,0.047619047619047616,0.041666666666666664,-0.005952380952380952,reweight,Other,4,0,4.287012388,,
2023-07-31,2023-08-01,0,D10,SAPR11,L,0.047619047619047616,0.0,-0.047619047619047616,exit,Other,0,2,18.57047136,,
2023-07-31,2023-08-01,0,D10,SLCE3,L,0.047619047619047616,0.041666666666666664,-0.005952380952380952,reweight,Agriculture & Fisheries,7,0,20.16935306,,
2023-07-31,2023-08-01,0,D10,SUZB3,L,0.047619047619047616,0.041666666666666664,-0.005952380952380952,reweight,Pulp & Paper,4,0,45.52575829,,
2023-07-31,2023-08-01,0,D10,TIMS3,L,0.047619047619047616,0.041666666666666664,-0.005952380952380952,reweight,Telecommunication,1,0,12.32429711,,
2023-07-31,2023-08-01,0,D10,UNIP6,L,0.0,0.041666666666666664,0.041666666666666664,add,Chemical,1,0,60.47494865,,
2023-07-31,2023-08-01,0,D10,VLID3,L,0.047619047619047616,0.041666666666666664,-0.005952380952380952,reweight,Other,7,0,12.5975219,,
2023-07-31,2023-08-01,0,D10,WIZC3,L,0.047619047619047616,0.041666666666666664,-0.005952380952380952,reweight,Financial Services,10,0,5.825780788,,
2023-07-31,2023-08-01,1,D10,BMOB3,L,0.05263157894736842,0.05263157894736842,0.0,keep,Software & Data,6,0,11.92315799,,
2023-07-31,2023-08-01,1,D10,BRAP4,L,0.05263157894736842,0.05263157894736842,0.0,keep,Other,21,0,18.36543011,,
2023-07-31,2023-08-01,1,D10,CEAB3,L,0.05263157894736842,0.05263157894736842,0.0,keep,Trade,21,1,5.392724426,,
2023-07-31,2023-08-01,1,D10,CPFE3,L,0.05263157894736842,0.05263157894736842,0.0,keep,Electric Power,6,0,29.92314122,,
2023-07-31,2023-08-01,1,D10,GUAR3,L,0.05263157894736842,0.05263157894736842,0.0,keep,Textile,15,0,7.091959255,,
2023-07-31,2023-08-01,1,D10,JALL3,L,0.05263157894736842,0.05263157894736842,0.0,keep,Other,24,0,8.327937333,,
2023-07-31,2023-08-01,1,D10,JBSS3,L,0.05263157894736842,0.05263157894736842,0.0,keep,Food & Beverage,12,0,16.07776889,,
2023-07-31,2023-08-01,1,D10,JHSF3,L,0.05263157894736842,0.05263157894736842,0.0,keep,Construction,9,0,4.788636338,,
2023-07-31,2023-08-01,1,D10,MOTV3,L,0.05263157894736842,0.05263157894736842,0.0,keep,Transportation Services,1,0,12.34514923,,
2023-07-31,2023-08-01,1,D10,MYPK3,L,0.05263157894736842,0.05263157894736842,0.0,keep,Vehicle & Parts,1,3,12.93732919,,
2023-07-31,2023-08-01,1,D10,NEOE3,L,0.05263157894736842,0.05263157894736842,0.0,keep,Electric Power,6,0,17.8639901,,
2023-07-31,2023-08-01,1,D10,PETR4,L,0.05263157894736842,0.05263157894736842,0.0,keep,Oil & Gas,15,0,22.32608414,,
2023-07-31,2023-08-01,1,D10,PGMN3,L,0.05263157894736842,0.05263157894736842,0.0,keep,Trade,3,0,3.479502748,,
2023-07-31,2023-08-01,1,D10,POSI3,L,0.05263157894736842,0.05263157894736842,0.0,keep,Electric Electron,6,0,7.579159207,,
2023-07-31,2023-08-01,1,D10,QUAL3,L,0.05263157894736842,0.05263157894736842,0.0,keep,Other,6,0,4.287012388,,
