month_end,trade_date,cohort_id,book,ticker,side,prev_weight,target_weight,delta_weight,rationale,sector,duration_months,strikes,px_ref_open,delist_risk_score,delist_risk_flags,delist_risk_multiplier,vt_prev,vt_curr
2019-05-31,2019-06-03,0,D10,AMER3,L,0.05714285714285712,0.05714285714285712,0.0,keep,Trade,5,0,3050.599934,0,,1.0,,
2019-05-31,2019-06-03,0,D10,BPAC11,L,0.05714285714285712,0.05714285714285712,0.0,keep,Financial Services,2,0,10.23006888,0,,1.0,,
2019-05-31,2019-06-03,0,D10,CMIG4,L,0.05714285714285712,0.05714285714285712,0.0,keep,Electric Power,5,0,4.094492598,0,,1.0,,
2019-05-31,2019-06-03,0,D10,CSMG3,L,0.05714285714285712,0.05714285714285712,0.0,keep,Other,5,2,11.30661867,0,,1.0,,
2019-05-31,2019-06-03,0,D10,ELET3,L,0.05714285714285712,0.05714285714285712,0.0,keep,Electric Power,2,0,27.34216712,0,,1.0,,
2019-05-31,2019-06-03,0,D10,GNDI3,L,0.05714285714285712,0.05714285714285712,0.0,keep,Other,2,0,40.40433412,0,,1.0,,
2019-05-31,2019-06-03,0,D10,HGTX3,L,0.05714285714285712,0.05714285714285712,0.0,keep,Textile,2,0,28.04584907,0,,1.0,,
2019-05-31,2019-06-03,0,D10,IRBR3,L,0.05714285714285712,0.05714285714285712,0.0,keep,Financial Services,11,0,921.2779481,0,,1.0,,
2019-05-31,2019-06-03,0,D10,JBSS3,L,0.05714285714285712,0.05714285714285712,0.0,keep,Food & Beverage,8,1,14.87480628,0,,1.0,,
2019-05-31,2019-06-03,0,D10,LCAM3,L,0.05714285714285712,0.05714285714285712,0.0,keep,Other,10,0,13.30134289,0,,1.0,,
2019-05-31,2019-06-03,0,D10,LOGN3,L,0.042857142857142844,0.042857142857142844,0.0,keep,Transportation Services,5,0,8.55,0,,1.0,,
2019-05-31,2019-06-03,0,D10,MGLU3,L,0.05714285714285712,0.05714285714285712,0.0,keep,Trade,32,0,59.06068259,0,,1.0,,
2019-05-31,2019-06-03,0,D10,MILS3,L,0.042857142857142844,0.042857142857142844,0.0,keep,Other,2,0,4.343477126,0,,1.0,,
2019-05-31,2019-06-03,0,D10,MOVI3,L,0.05714285714285712,0.05714285714285712,0.0,keep,Other,2,0,10.36824201,0,,1.0,,
2019-05-31,2019-06-03,0,D10,PRIO3,L,0.05714285714285712,0.05714285714285712,0.0,keep,Oil & Gas,2,1,3.490393782,0,,1.0,,
2019-05-31,2019-06-03,0,D10,SUZB3,L,0.05714285714285712,0.05714285714285712,0.0,keep,Pulp & Paper,5,0,28.80007109,0,,1.0,,
2019-05-31,2019-06-03,0,D10,TASA4,L,0.05714285714285712,0.05714285714285712,0.0,keep,Basic & Fabricated Metal,5,0,2.572094388,0,,1.0,,
2019-05-31,2019-06-03,0,D10,UNIP6,L,0.05714285714285712,0.05714285714285712,0.0,keep,Chemical,8,0,14.76997395,0,,1.0,,
2019-05-31,2019-06-03,1,D10,AMER3,L,0.0625,0.058823529411764705,-0.003676470588235295,reweight,Trade,4,0,3050.599934,0,,1.0,,
2019-05-31,2019-06-03,1,D10,BPAC11,L,0.0,0.058823529411764705,0.058823529411764705,add,Financial Services,1,0,10.23006888,0,,1.0,,
2019-05-31,2019-06-03,1,D10,CMIG4,L,0.0625,0.058823529411764705,-0.003676470588235295,reweight,Electric Power,7,0,4.094492598,0,,1.0,,
2019-05-31,2019-06-03,1,D10,CSMG3,L,0.0625,0.0,-0.0625,exit,Other,3,0,11.30661867,0,,1.0,,
2019-05-31,2019-06-03,1,D10,ELET3,L,0.0,0.058823529411764705,0.058823529411764705,add,Electric Power,2,0,27.34216712,0,,1.0,,
2019-05-31,2019-06-03,1,D10,GOLL54,L,0.0,0.058823529411764705,0.058823529411764705,add,Transportation Services,1,0,0.352515994,0,,1.0,,
2019-05-31,2019-06-03,1,D10,HGTX3,L,0.0625,0.058823529411764705,-0.003676470588235295,reweight,Textile,4,0,28.04584907,0,,1.0,,
2019-05-31,2019-06-03,1,D10,IRBR3,L,0.0625,0.058823529411764705,-0.003676470588235295,reweight,Financial Services,10,0,921.2779481,0,,1.0,,
2019-05-31,2019-06-03,1,D10,JBSS3,L,0.0625,0.058823529411764705,-0.003676470588235295,reweight,Food & Beverage,7,0,14.87480628,0,,1.0,,
2019-05-31,2019-06-03,1,D10,LCAM3,L,0.0625,0.058823529411764705,-0.003676470588235295,reweight,Other,10,0,13.30134289,0,,1.0,,
2019-05-31,2019-06-03,1,D10,LOGN3,L,0.0625,0.0,-0.0625,exit,Transportation Services,3,0,8.55,0,,1.0,,
2019-05-31,2019-06-03,1,D10,MGLU3,L,0.0625,0.058823529411764705,-0.003676470588235295,reweight,Trade,34,0,59.06068259,0,,1.0,,
2019-05-31,2019-06-03,1,D10,MILS3,L,0.0,0.058823529411764705,0.058823529411764705,add,Other,1,0,4.343477126,0,,1.0,,
2019-05-31,2019-06-03,1,D10,MOVI3,L,0.0,0.058823529411764705,0.058823529411764705,add,Other,1,0,10.36824201,0,,1.0,,
2019-05-31,2019-06-03,1,D10,PRIO3,L,0.0625,0.058823529411764705,-0.003676470588235295,reweight,Oil & Gas,4,0,3.490393782,0,,1.0,,
2019-05-31,2019-06-03,1,D10,RAPT4,L,0.0,0.058823529411764705,0.058823529411764705,add,Vehicle & Parts,1,0,6.473043334,0,,1.0,,
2019-05-31,2019-06-03,1,D10,RENT3,L,0.0625,0.0,-0.0625,exit,Other,0,0,31.49096267,0,,1.0,,
2019-05-31,2019-06-03,1,D10,SIMH3,L,0.0,0.058823529411764705,0.058823529411764705,add,Transportation Services,1,0,3.049975545,0,,1.0,,
2019-05-31,2019-06-03,1,D10,SUZB3,L,0.0625,0.058823529411764705,-0.003676470588235295,reweight,Pulp & Paper,7,0,28.80007109,0,,1.0,,
2019-05-31,2019-06-03,1,D10,TASA4,L,0.0625,0.058823529411764705,-0.003676470588235295,reweight,Basic & Fabricated Metal,4,0,2.572094388,0,,1.0,,
2019-05-31,2019-06-03,1,D10,TEND3,L,0.0625,0.0,-0.0625,exit,Construction,12,0,19.01098512,0,,1.0,,
2019-05-31,2019-06-03,1,D10,TUPY3,L,0.0625,0.0,-0.0625,exit,Vehicle & Parts,0,0,16.94844833,0,,1.0,,
2019-05-31,2019-06-03,1,D10,UNIP6,L,0.0625,0.0,-0.0625,exit,Chemical,9,0,14.76997395,0,,1.0,,
2019-05-31,2019-06-03,2,D10,AMER3,L,0.058823529411764705,0.058823529411764705,0.0,keep,Trade,6,0,3050.599934,0,,1.0,,
2019-05-31,2019-06-03,2,D10,CMIG4,L,0.058823529411764705,0.058823529411764705,0.0,keep,Electric Power,9,0,4.094492598,0,,1.0,,
2019-05-31,2019-06-03,2,D10,CSMG3,L,0.058823529411764705,0.058823529411764705,0.0,keep,Other,6,2,11.30661867,0,,1.0,,
2019-05-31,2019-06-03,2,D10,ELET3,L,0.058823529411764705,0.058823529411764705,0.0,keep,Electric Power,3,0,27.34216712,0,,1.0,,
2019-05-31,2019-06-03,2,D10,HGTX3,L,0.058823529411764705,0.058823529411764705,0.0,keep,Textile,3,0,28.04584907,0,,1.0,,
2019-05-31,2019-06-03,2,D10,IRBR3,L,0.058823529411764705,0.058823529411764705,0.0,keep,Financial Services,9,0,921.2779481,0,,1.0,,
2019-05-31,2019-06-03,2,D10,JBSS3,L,0.058823529411764705,0.058823529411764705,0.0,keep,Food & Beverage,3,0,14.87480628,0,,1.0,,
2019-05-31,2019-06-03,2,D10,LCAM3,L,0.058823529411764705,0.058823529411764705,0.0,keep,Other,10,0,13.30134289,0,,1.0,,
2019-05-31,2019-06-03,2,D10,LINX3,L,0.058823529411764705,0.058823529411764705,0.0,keep,Software & Data,6,0,34.17272033,0,,1.0,,
2019-05-31,2019-06-03,2,D10,LOGN3,L,0.058823529411764705,0.058823529411764705,0.0,keep,Transportation Services,6,0,8.55,0,,1.0,,
2019-05-31,2019-06-03,2,D10,MGLU3,L,0.058823529411764705,0.058823529411764705,0.0,keep,Trade,33,0,59.06068259,0,,1.0,,
2019-05-31,2019-06-03,2,D10,MILS3,L,0.058823529411764705,0.058823529411764705,0.0,keep,Other,3,0,4.343477126,0,,1.0,,
2019-05-31,2019-06-03,2,D10,MOVI3,L,0.058823529411764705,0.058823529411764705,0.0,keep,Other,3,0,10.36824201,0,,1.0,,
2019-05-31,2019-06-03,2,D10,PRIO3,L,0.058823529411764705,0.058823529411764705,0.0,keep,Oil & Gas,3,0,3.490393782,0,,1.0,,
2019-05-31,2019-06-03,2,D10,RAPT4,L,0.058823529411764705,0.058823529411764705,0.0,keep,Vehicle & Parts,6,0,6.473043334,0,,1.0,,
2019-05-31,2019-06-03,2,D10,SUZB3,L,0.058823529411764705,0.058823529411764705,0.0,keep,Pulp & Paper,6,0,28.80007109,0,,1.0,,
2019-05-31,2019-06-03,2,D10,TASA4,L,0.058823529411764705,0.058823529411764705,0.0,keep,Basic & Fabricated Metal,6,0,2.572094388,0,,1.0,,
2019-05-31,2019-06-03,0,LS,AMER3,L,0.02990589552190018,0.03508473152794471,0.005178836006044529,reweight,Trade,5,0,3050.599934,0,,1.0,1.0467063432665062,1.0525419458383414
2019-05-31,2019-06-03,0,LS,BPAC11,L,0.02990589552190018,0.03508473152794471,0.005178836006044529,reweight,Financial Services,2,0,10.23006888,0,,1.0,1.0467063432665062,1.0525419458383414
2019-05-31,2019-06-03,0,LS,CMIG4,L,0.02990589552190018,0.03508473152794471,0.005178836006044529,reweight,Electric Power,5,0,4.094492598,0,,1.0,1.0467063432665062,1.0525419458383414
2019-05-31,2019-06-03,0,LS,CSMG3,L,0.02990589552190018,0.0,-0.02990589552190018,exit,Other,4,2,11.30661867,0,,1.0,1.0467063432665062,1.0525419458383414
