month_end,trade_date,cohort_id,book,ticker,side,prev_weight,target_weight,delta_weight,rationale,sector,duration_months,strikes,px_ref_open,delist_risk_score,delist_risk_flags,delist_risk_multiplier,vt_prev,vt_curr
2020-04-30,2020-05-04,0,D10,ALPA4,L,0.07142857142857145,0.06666666666666668,-0.004761904761904773,reweight,Textile,1,0,25.82602081,0,,1.0,,
2020-04-30,2020-05-04,0,D10,B3SA3,L,0.07142857142857145,0.0,-0.07142857142857145,exit,Financial Services,0,0,10.29916012,0,,1.0,,
2020-04-30,2020-05-04,0,D10,BHIA3,L,0.0,0.06666666666666668,0.06666666666666668,add,Trade,1,0,220.0,0,,1.0,,
2020-04-30,2020-05-04,0,D10,BPAN4,L,0.0,0.06666666666666668,0.06666666666666668,add,Financial Services,1,0,4.225518,0,,1.0,,
2020-04-30,2020-05-04,0,D10,CPLE6,L,0.0,0.06666666666666668,0.06666666666666668,add,Electric Power,1,0,3.326519882,0,,1.0,,
2020-04-30,2020-05-04,0,D10,CSAN3,L,0.07142857142857145,0.0,-0.07142857142857145,exit,Oil & Gas,0,0,12.96499401,0,,1.0,,
2020-04-30,2020-05-04,0,D10,CSMG3,L,0.07142857142857145,0.0,-0.07142857142857145,exit,Other,0,1,8.948204552,0,,1.0,,
2020-04-30,2020-05-04,0,D10,CSNA3,L,0.07142857142857145,0.0,-0.07142857142857145,exit,Basic & Fabricated Metal,0,0,5.279144842,0,,1.0,,
2020-04-30,2020-05-04,0,D10,ELET3,L,0.07142857142857145,0.0,-0.07142857142857145,exit,Electric Power,0,0,18.20346014,0,,1.0,,
2020-04-30,2020-05-04,0,D10,ENEV3,L,0.0,0.06666666666666668,0.06666666666666668,add,Electric Power,1,0,8.7875,0,,1.0,,
2020-04-30,2020-05-04,0,D10,EQTL3,L,0.07142857142857145,0.0,-0.07142857142857145,exit,Electric Power,0,0,15.53823032,0,,1.0,,
2020-04-30,2020-05-04,0,D10,HYPE3,L,0.07142857142857145,0.0,-0.07142857142857145,exit,Other,0,0,22.91737735,0,,1.0,,
2020-04-30,2020-05-04,0,D10,ISAE4,L,0.07142857142857145,0.0,-0.07142857142857145,exit,Electric Power,0,0,12.28932091,0,,1.0,,
2020-04-30,2020-05-04,0,D10,JHSF3,L,0.0,0.06666666666666668,0.06666666666666668,add,Construction,1,0,2.807143956,0,,1.0,,
2020-04-30,2020-05-04,0,D10,KEPL3,L,0.0,0.06666666666666668,0.06666666666666668,add,Basic & Fabricated Metal,1,0,2.364949333,0,,1.0,,
2020-04-30,2020-05-04,0,D10,LINX3,L,0.07142857142857145,0.0,-0.07142857142857145,exit,Software & Data,45,0,20.68723466,0,,1.0,,
2020-04-30,2020-05-04,0,D10,MBRF3,L,0.07142857142857145,0.06666666666666668,-0.004761904761904773,reweight,Food & Beverage,1,0,7.557624986,0,,1.0,,
2020-04-30,2020-05-04,0,D10,QUAL3,L,0.0,0.06666666666666668,0.06666666666666668,add,Other,1,0,22.07902315,0,,1.0,,
2020-04-30,2020-05-04,0,D10,RADL3,L,0.07142857142857145,0.0,-0.07142857142857145,exit,Trade,0,0,18.72307696,0,,1.0,,
2020-04-30,2020-05-04,0,D10,SBFG3,L,0.0,0.06666666666666668,0.06666666666666668,add,Trade,1,0,27.45554366,0,,1.0,,
2020-04-30,2020-05-04,0,D10,SBSP3,L,0.07142857142857145,0.0,-0.07142857142857145,exit,Other,0,0,34.5393032,0,,1.0,,
2020-04-30,2020-05-04,0,D10,SHUL4,L,0.0,0.06666666666666668,0.06666666666666668,add,Vehicle & Parts,1,0,1.595026407,0,,1.0,,
2020-04-30,2020-05-04,0,D10,SIMH3,L,0.0,0.06666666666666668,0.06666666666666668,add,Transportation Services,1,0,4.062277134,0,,1.0,,
2020-04-30,2020-05-04,0,D10,SMTO3,L,0.07142857142857145,0.0,-0.07142857142857145,exit,Other,0,0,14.70682644,0,,1.0,,
2020-04-30,2020-05-04,0,D10,SQIA3,L,0.0,0.06666666666666668,0.06666666666666668,add,Software & Data,1,0,20.68039445,0,,1.0,,
2020-04-30,2020-05-04,0,D10,SRNA3,L,0.0,0.06666666666666668,0.06666666666666668,add,Electric Power,1,0,13.23832489,0,,1.0,,
2020-04-30,2020-05-04,0,D10,TRIS3,L,0.0,0.06666666666666668,0.06666666666666668,add,Construction,1,0,6.464118206,0,,1.0,,
2020-04-30,2020-05-04,1,D10,BPAC11,L,0.0625,0.0625,0.0,keep,Financial Services,12,0,8.942655174,0,,1.0,,
