month_end,trade_date,cohort_id,book,ticker,side,prev_weight,target_weight,delta_weight,rationale,sector,duration_months,strikes,px_ref_open,delist_risk_score,delist_risk_flags,delist_risk_multiplier,vt_prev,vt_curr
2019-11-29,2019-12-02,0,D10,AMAR3,L,0.0625,0.0625,0.0,keep,Trade,26,0,46.63008778,0,,1.0,,
2019-11-29,2019-12-02,0,D10,BEEF3,L,0.0625,0.0625,0.0,keep,Food & Beverage,2,1,10.4828232,0,,1.0,,
2019-11-29,2019-12-02,0,D10,BRAP4,L,0.0625,0.0625,0.0,keep,Other,2,0,7.157676037,0,,1.0,,
2019-11-29,2019-12-02,0,D10,CIEL3,L,0.0625,0.0625,0.0,keep,Software & Data,26,0,6.193988862,0,,1.0,,
2019-11-29,2019-12-02,0,D10,ELET3,L,0.0625,0.0625,0.0,keep,Electric Power,5,0,27.74725169,0,,1.0,,
2019-11-29,2019-12-02,0,D10,ENAT3,L,0.0625,0.0625,0.0,keep,Oil & Gas,14,0,11.04279282,0,,1.0,,
2019-11-29,2019-12-02,0,D10,FESA4,L,0.0625,0.0625,0.0,keep,Basic & Fabricated Metal,26,1,3.537181069,0,,1.0,,
2019-11-29,2019-12-02,0,D10,GUAR3,L,0.0625,0.0625,0.0,keep,Textile,5,0,17.70846053,0,,1.0,,
2019-11-29,2019-12-02,0,D10,MYPK3,L,0.0625,0.0625,0.0,keep,Vehicle & Parts,2,1,14.81303576,0,,1.0,,
2019-11-29,2019-12-02,0,D10,RLOG3,L,0.0625,0.0625,0.0,keep,Transportation Services,5,1,21.48,0,,1.0,,
2019-11-29,2019-12-02,0,D10,SAPR11,L,0.0625,0.0625,0.0,keep,Other,23,0,21.63368356,0,,1.0,,
2019-11-29,2019-12-02,0,D10,SIMH3,L,0.0625,0.0625,0.0,keep,Transportation Services,5,0,4.714614213,0,,1.0,,
2019-11-29,2019-12-02,0,D10,SMLS3,L,0.0625,0.0625,0.0,keep,Other,5,0,26.61671455,0,,1.0,,
2019-11-29,2019-12-02,0,D10,TEND3,L,0.0625,0.0625,0.0,keep,Construction,2,0,22.59481115,0,,1.0,,
2019-11-29,2019-12-02,0,D10,VLID3,L,0.0625,0.0625,0.0,keep,Other,5,0,10.03479041,0,,1.0,,
2019-11-29,2019-12-02,0,D10,VULC3,L,0.0625,0.0625,0.0,keep,Textile,14,0,5.54507088,0,,1.0,,
2019-11-29,2019-12-02,1,D10,AMAR3,L,0.07692307692307694,0.06666666666666668,-0.010256410256410262,reweight,Trade,28,0,46.63008778,0,,1.0,,
2019-11-29,2019-12-02,1,D10,BEEF3,L,0.07692307692307694,0.06666666666666668,-0.010256410256410262,reweight,Food & Beverage,4,1,10.4828232,0,,1.0,,
2019-11-29,2019-12-02,1,D10,BRAP4,L,0.07692307692307694,0.06666666666666668,-0.010256410256410262,reweight,Other,4,0,7.157676037,0,,1.0,,
2019-11-29,2019-12-02,1,D10,BRML3,L,0.07692307692307694,0.06666666666666668,-0.010256410256410262,reweight,Other,4,0,15.53176022,0,,1.0,,
2019-11-29,2019-12-02,1,D10,CIEL3,L,0.07692307692307694,0.06666666666666668,-0.010256410256410262,reweight,Software & Data,28,0,6.193988862,0,,1.0,,
2019-11-29,2019-12-02,1,D10,ELET3,L,0.07692307692307694,0.06666666666666668,-0.010256410256410262,reweight,Electric Power,4,0,27.74725169,0,,1.0,,
2019-11-29,2019-12-02,1,D10,ENAT3,L,0.07692307692307694,0.06666666666666668,-0.010256410256410262,reweight,Oil & Gas,16,0,11.04279282,0,,1.0,,
2019-11-29,2019-12-02,1,D10,FESA4,L,0.07692307692307694,0.06666666666666668,-0.010256410256410262,reweight,Basic & Fabricated Metal,4,0,3.537181069,0,,1.0,,
2019-11-29,2019-12-02,1,D10,GOLL54,L,0.0,0.06666666666666668,0.06666666666666668,add,Transportation Services,1,0,0.442107849,0,,1.0,,
2019-11-29,2019-12-02,1,D10,GUAR3,L,0.07692307692307694,0.06666666666666668,-0.010256410256410262,reweight,Textile,4,0,17.70846053,0,,1.0,,
2019-11-29,2019-12-02,1,D10,JHSF3,L,0.07692307692307694,0.0,-0.07692307692307694,exit,Construction,3,0,3.993841172,0,,1.0,,
2019-11-29,2019-12-02,1,D10,PETR4,L,0.0,0.06666666666666668,0.06666666666666668,add,Oil & Gas,1,1,8.274422156,0,,1.0,,
2019-11-29,2019-12-02,1,D10,SMLS3,L,0.07692307692307694,0.06666666666666668,-0.010256410256410262,reweight,Other,4,0,26.61671455,0,,1.0,,
2019-11-29,2019-12-02,1,D10,TEND3,L,0.0,0.06666666666666668,0.06666666666666668,add,Construction,1,0,22.59481115,0,,1.0,,
2019-11-29,2019-12-02,1,D10,VLID3,L,0.07692307692307694,0.06666666666666668,-0.010256410256410262,reweight,Other,4,0,10.03479041,0,,1.0,,
2019-11-29,2019-12-02,1,D10,VULC3,L,0.07692307692307694,0.06666666666666668,-0.010256410256410262,reweight,Textile,19,0,5.54507088,0,,1.0,,
2019-11-29,2019-12-02,2,D10,AMAR3,L,0.06666666666666668,0.06666666666666668,0.0,keep,Trade,24,0,46.63008778,0,,1.0,,
2019-11-29,2019-12-02,2,D10,BEEF3,L,0.06666666666666668,0.06666666666666668,0.0,keep,Food & Beverage,3,0,10.4828232,0,,1.0,,
