month_end,trade_date,cohort_id,book,ticker,side,prev_weight,target_weight,delta_weight,rationale,sector,duration_months,strikes,px_ref_open,delist_risk_score,delist_risk_flags,delist_risk_multiplier,vt_prev,vt_curr
2019-09-30,2019-10-01,0,D10,AMAR3,L,0.06666666666666668,0.06666666666666668,0.0,keep,Trade,24,0,38.62371378,0,,1.0,,
2019-09-30,2019-10-01,0,D10,CIEL3,L,0.06666666666666668,0.06666666666666668,0.0,keep,Software & Data,24,0,6.370728631,0,,1.0,,
2019-09-30,2019-10-01,0,D10,DXCO3,L,0.06666666666666668,0.06666666666666668,0.0,keep,Other,3,0,8.371909866,0,,1.0,,
2019-09-30,2019-10-01,0,D10,ELET3,L,0.06666666666666668,0.06666666666666668,0.0,keep,Electric Power,3,0,31.56382929,0,,1.0,,
2019-09-30,2019-10-01,0,D10,ENAT3,L,0.06666666666666668,0.06666666666666668,0.0,keep,Oil & Gas,12,0,8.890046203,0,,1.0,,
2019-09-30,2019-10-01,0,D10,FESA4,L,0.06666666666666668,0.06666666666666668,0.0,keep,Basic & Fabricated Metal,24,1,3.288134647,0,,1.0,,
2019-09-30,2019-10-01,0,D10,GUAR3,L,0.06666666666666668,0.06666666666666668,0.0,keep,Textile,3,0,17.77831639,0,,1.0,,
2019-09-30,2019-10-01,0,D10,JBSS3,L,0.06666666666666668,0.06666666666666668,0.0,keep,Food & Beverage,1,0,22.39364084,0,,1.0,,
2019-09-30,2019-10-01,0,D10,QUAL3,L,0.06666666666666668,0.06666666666666668,0.0,keep,Other,12,0,24.52979787,0,,1.0,,
2019-09-30,2019-10-01,0,D10,RLOG3,L,0.06666666666666668,0.06666666666666668,0.0,keep,Transportation Services,3,1,20.92,0,,1.0,,
2019-09-30,2019-10-01,0,D10,SAPR11,L,0.06666666666666668,0.06666666666666668,0.0,keep,Other,21,0,19.79952343,0,,1.0,,
2019-09-30,2019-10-01,0,D10,SIMH3,L,0.06666666666666668,0.06666666666666668,0.0,keep,Transportation Services,3,0,3.776160199,0,,1.0,,
2019-09-30,2019-10-01,0,D10,SMLS3,L,0.06666666666666668,0.06666666666666668,0.0,keep,Other,3,0,29.46354576,0,,1.0,,
2019-09-30,2019-10-01,0,D10,VLID3,L,0.06666666666666668,0.06666666666666668,0.0,keep,Other,3,0,9.818973087,0,,1.0,,
2019-09-30,2019-10-01,0,D10,VULC3,L,0.06666666666666668,0.06666666666666668,0.0,keep,Textile,12,0,5.666080129,0,,1.0,,
2019-09-30,2019-10-01,1,D10,AMAR3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Trade,26,0,38.62371378,0,,1.0,,
2019-09-30,2019-10-01,1,D10,BEEF3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Food & Beverage,2,1,6.894742773,0,,1.0,,
2019-09-30,2019-10-01,1,D10,BRAP4,L,0.07692307692307694,0.07692307692307694,0.0,keep,Other,2,0,6.637844816,0,,1.0,,
2019-09-30,2019-10-01,1,D10,BRML3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Other,2,0,14.46780482,0,,1.0,,
2019-09-30,2019-10-01,1,D10,CIEL3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Software & Data,26,0,6.370728631,0,,1.0,,
2019-09-30,2019-10-01,1,D10,ELET3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Electric Power,2,0,31.56382929,0,,1.0,,
2019-09-30,2019-10-01,1,D10,ENAT3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Oil & Gas,14,0,8.890046203,0,,1.0,,
2019-09-30,2019-10-01,1,D10,FESA4,L,0.07692307692307694,0.07692307692307694,0.0,keep,Basic & Fabricated Metal,2,0,3.288134647,0,,1.0,,
2019-09-30,2019-10-01,1,D10,GUAR3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Textile,2,0,17.77831639,0,,1.0,,
2019-09-30,2019-10-01,1,D10,JHSF3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Construction,2,0,2.983183284,0,,1.0,,
2019-09-30,2019-10-01,1,D10,SMLS3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Other,2,0,29.46354576,0,,1.0,,
2019-09-30,2019-10-01,1,D10,VLID3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Other,2,0,9.818973087,0,,1.0,,
2019-09-30,2019-10-01,1,D10,VULC3,L,0.07692307692307694,0.07692307692307694,0.0,keep,Textile,17,0,5.666080129,0,,1.0,,
2019-09-30,2019-10-01,2,D10,AMAR3,L,0.07142857142857145,0.06666666666666668,-0.004761904761904773,reweight,Trade,22,0,38.62371378,0,,1.0,,
2019-09-30,2019-10-01,2,D10,BEEF3,L,0.0,0.06666666666666668,0.06666666666666668,add,Food & Beverage,1,0,6.894742773,0,,1.0,,
2019-09-30,2019-10-01,2,D10,BRAP4,L,0.0,0.06666666666666668,0.06666666666666668,add,Other,1,0,6.637844816,0,,1.0,,
2019-09-30,2019-10-01,2,D10,BRML3,L,0.0,0.06666666666666668,0.06666666666666668,add,Other,1,0,14.46780482,0,,1.0,,
