month_end,trade_date,cohort_id,book,ticker,side,prev_weight,target_weight,delta_weight,rationale,sector,duration_months,strikes,px_ref_open,vt_prev,vt_curr
2019-04-30,2019-05-02,0,D10,AMAR3,L,0.0,0.07142857142857142,0.07142857142857142,add,Trade,1,0,32.38759332,,
2019-04-30,2019-05-02,0,D10,BHIA3,L,0.07142857142857142,0.0,-0.07142857142857142,exit,Trade,0,0,101.75,,
2019-04-30,2019-05-02,0,D10,CIEL3,L,0.07142857142857142,0.07142857142857142,0.0,keep,Software & Data,19,0,5.861723684,,
2019-04-30,2019-05-02,0,D10,DXCO3,L,0.07142857142857142,0.07142857142857142,0.0,keep,Other,4,1,6.551929461,,
2019-04-30,2019-05-02,0,D10,ECOR3,L,0.07142857142857142,0.07142857142857142,0.0,keep,Transportation Services,16,0,7.468677743,,
2019-04-30,2019-05-02,0,D10,ELET3,L,0.0,0.07142857142857142,0.07142857142857142,add,Electric Power,2,0,25.72452087,,
2019-04-30,2019-05-02,0,D10,ENAT3,L,0.07142857142857142,0.07142857142857142,0.0,keep,Oil & Gas,7,0,10.69994799,,
2019-04-30,2019-05-02,0,D10,ENEV3,L,0.07142857142857142,0.0,-0.07142857142857142,exit,Electric Power,6,0,4.96,,
2019-04-30,2019-05-02,0,D10,FESA4,L,0.07142857142857142,0.07142857142857142,0.0,keep,Basic & Fabricated Metal,19,1,3.647693451,,
2019-04-30,2019-05-02,0,D10,GUAR3,L,0.0,0.07142857142857142,0.07142857142857142,add,Textile,1,0,15.79361846,,
2019-04-30,2019-05-02,0,D10,JBSS3,L,0.07142857142857142,0.07142857142857142,0.0,keep,Food & Beverage,7,0,13.23260595,,
2019-04-30,2019-05-02,0,D10,MPLU3,L,0.07142857142857142,0.0,-0.07142857142857142,exit,Other,0,2,,,
2019-04-30,2019-05-02,0,D10,QUAL3,L,0.07142857142857142,0.07142857142857142,0.0,keep,Other,7,0,13.08007554,,
2019-04-30,2019-05-02,0,D10,SAPR11,L,0.07142857142857142,0.07142857142857142,0.0,keep,Other,16,0,18.09961551,,
2019-04-30,2019-05-02,0,D10,SMTO3,L,0.07142857142857142,0.07142857142857142,0.0,keep,Other,19,2,14.49714208,,
2019-04-30,2019-05-02,0,D10,TUPY3,L,0.07142857142857142,0.07142857142857142,0.0,keep,Vehicle & Parts,4,0,14.86776523,,
2019-04-30,2019-05-02,0,D10,VULC3,L,0.07142857142857142,0.07142857142857142,0.0,keep,Textile,10,0,4.384805728,,
2019-04-30,2019-05-02,1,D10,BHIA3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Trade,1,0,101.75,,
2019-04-30,2019-05-02,1,D10,CIEL3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Software & Data,21,0,5.861723684,,
2019-04-30,2019-05-02,1,D10,DXCO3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Other,6,2,6.551929461,,
2019-04-30,2019-05-02,1,D10,ECOR3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Transportation Services,12,0,7.468677743,,
2019-04-30,2019-05-02,1,D10,ENAT3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Oil & Gas,9,0,10.69994799,,
2019-04-30,2019-05-02,1,D10,ENEV3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Electric Power,9,0,4.96,,
2019-04-30,2019-05-02,1,D10,FESA4,L,0.06666666666666667,0.06666666666666667,0.0,keep,Basic & Fabricated Metal,6,0,3.647693451,,
2019-04-30,2019-05-02,1,D10,GUAR3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Textile,3,0,15.79361846,,
2019-04-30,2019-05-02,1,D10,JBSS3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Food & Beverage,6,0,13.23260595,,
2019-04-30,2019-05-02,1,D10,QUAL3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Other,9,0,13.08007554,,
2019-04-30,2019-05-02,1,D10,SAPR11,L,0.06666666666666667,0.06666666666666667,0.0,keep,Other,15,0,18.09961551,,
2019-04-30,2019-05-02,1,D10,SEER3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Other,6,0,19.37801131,,
2019-04-30,2019-05-02,1,D10,SMTO3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Other,21,2,14.49714208,,
2019-04-30,2019-05-02,1,D10,TUPY3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Vehicle & Parts,3,0,14.86776523,,
2019-04-30,2019-05-02,1,D10,VULC3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Textile,12,0,4.384805728,,
2019-04-30,2019-05-02,2,D10,AMAR3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Trade,17,0,32.38759332,,
2019-04-30,2019-05-02,2,D10,CIEL3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Software & Data,23,0,5.861723684,,
2019-04-30,2019-05-02,2,D10,DXCO3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Other,5,2,6.551929461,,
2019-04-30,2019-05-02,2,D10,ECOR3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Transportation Services,8,0,7.468677743,,
2019-04-30,2019-05-02,2,D10,ELET3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Electric Power,2,0,25.72452087,,
2019-04-30,2019-05-02,2,D10,ENAT3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Oil & Gas,8,0,10.69994799,,
2019-04-30,2019-05-02,2,D10,FESA4,L,0.06666666666666667,0.06666666666666667,0.0,keep,Basic & Fabricated Metal,20,1,3.647693451,,
2019-04-30,2019-05-02,2,D10,GUAR3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Textile,2,0,15.79361846,,
2019-04-30,2019-05-02,2,D10,JBSS3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Food & Beverage,8,2,13.23260595,,
2019-04-30,2019-05-02,2,D10,QUAL3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Other,5,0,13.08007554,,
2019-04-30,2019-05-02,2,D10,SAPR11,L,0.06666666666666667,0.06666666666666667,0.0,keep,Other,17,0,18.09961551,,
2019-04-30,2019-05-02,2,D10,SEER3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Other,5,1,19.37801131,,
2019-04-30,2019-05-02,2,D10,SIMH3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Transportation Services,2,0,2.234414319,,
2019-04-30,2019-05-02,2,D10,SMTO3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Other,11,0,14.49714208,,
2019-04-30,2019-05-02,2,D10,VULC3,L,0.06666666666666667,0.06666666666666667,0.0,keep,Textile,17,0,4.384805728,,
2019-04-30,2019-05-02,0,LS,AMAR3,L,0.0,0.05794117249678051,0.05794117249678051,add,Trade,1,0,32.38759332,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,CIEL3,L,0.0630918913597894,0.05794117249678051,-0.005150718863008892,reweight,Software & Data,19,0,5.861723684,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,DXCO3,L,0.0630918913597894,0.05794117249678051,-0.005150718863008892,reweight,Other,4,1,6.551929461,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,ECOR3,L,0.0630918913597894,0.05794117249678051,-0.005150718863008892,reweight,Transportation Services,16,0,7.468677743,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,ELET3,L,0.0423435512481808,0.05794117249678051,0.01559762124859971,reweight,Electric Power,2,0,25.72452087,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,ENAT3,L,0.0630918913597894,0.05794117249678051,-0.005150718863008892,reweight,Oil & Gas,7,0,10.69994799,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,ENEV3,L,0.0630918913597894,0.0,-0.0630918913597894,exit,Electric Power,6,0,4.96,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,FESA4,L,0.0630918913597894,0.05794117249678051,-0.005150718863008892,reweight,Basic & Fabricated Metal,19,1,3.647693451,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,GUAR3,L,0.0,0.05794117249678051,0.05794117249678051,add,Textile,1,0,15.79361846,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,JBSS3,L,0.0630918913597894,0.05794117249678051,-0.005150718863008892,reweight,Food & Beverage,7,0,13.23260595,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,QUAL3,L,0.0630918913597894,0.05794117249678051,-0.005150718863008892,reweight,Other,7,0,13.08007554,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,SAPR11,L,0.0630918913597894,0.05794117249678051,-0.005150718863008892,reweight,Other,16,0,18.09961551,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,SMTO3,L,0.0630918913597894,0.05794117249678051,-0.005150718863008892,reweight,Other,19,2,14.49714208,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,TUPY3,L,0.0630918913597894,0.05794117249678051,-0.005150718863008892,reweight,Vehicle & Parts,4,0,14.86776523,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,VULC3,L,0.0630918913597894,0.05794117249678051,-0.005150718863008892,reweight,Textile,10,0,4.384805728,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,AMER3,S,-0.0630918913597894,-0.05069852593468295,0.012393365425106453,reweight,Trade,13,0,3634.777811,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,ANIM3,S,0.0,-0.05069852593468295,-0.05069852593468295,add,Other,1,1,5.739805204,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,AZUL4,S,-0.0630918913597894,-0.05069852593468295,0.012393365425106453,reweight,Transportation Services,4,0,33.62,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,AZZA3,S,-0.0630918913597894,-0.05069852593468295,0.012393365425106453,reweight,Textile,22,0,45.3449297,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,B3SA3,S,-0.0630918913597894,-0.05069852593468295,0.012393365425106453,reweight,Financial Services,25,0,8.953843908,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,BRFS3,S,-0.0630918913597894,-0.05069852593468295,0.012393365425106453,reweight,Food & Beverage,4,2,29.89742207,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,CVCB3,S,-0.0630918913597894,-0.05069852593468295,0.012393365425106453,reweight,Transportation Services,13,0,50.7956415,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,EZTC3,S,0.0,-0.05069852593468295,-0.05069852593468295,add,Construction,1,0,17.72714871,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,GNDI3,S,-0.0630918913597894,-0.05069852593468295,0.012393365425106453,reweight,Other,10,0,34.03694445,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,HAPV3,S,-0.0630918913597894,-0.05069852593468295,0.012393365425106453,reweight,Other,10,0,88.64336159,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,MULT3,S,-0.0630918913597894,0.0,0.0630918913597894,exit,Other,12,0,19.46414527,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,ODPV3,S,0.0,-0.05069852593468295,-0.05069852593468295,add,Other,1,0,10.799484,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,PMAM3,S,0.0,-0.05069852593468295,-0.05069852593468295,add,Basic & Fabricated Metal,1,0,20.43738716,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,POMO4,S,-0.0630918913597894,-0.05069852593468295,0.012393365425106453,reweight,Vehicle & Parts,16,0,2.141983689,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,RENT3,S,-0.0630918913597894,-0.05069852593468295,0.012393365425106453,reweight,Other,13,0,29.95506192,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,SRNA3,S,0.0,-0.05069852593468295,-0.05069852593468295,add,Electric Power,1,0,9.367573022,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,TASA4,S,-0.042343551248180816,0.0,0.042343551248180816,exit,Basic & Fabricated Metal,1,0,2.497540927,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,0,LS,ZAMP3,S,-0.0630918913597894,-0.05069852593468295,0.012393365425106453,reweight,Other,16,0,22.16506685,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,1,LS,CIEL3,L,0.05514368420065077,0.05431499920895927,-0.0008286849916915029,reweight,Software & Data,21,0,5.861723684,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,1,LS,DXCO3,L,0.05514368420065077,0.05431499920895927,-0.0008286849916915029,reweight,Other,6,2,6.551929461,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,1,LS,ECOR3,L,0.05514368420065077,0.05431499920895927,-0.0008286849916915029,reweight,Transportation Services,12,0,7.468677743,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,1,LS,ELET3,L,0.02743466875654267,0.05076642602949738,0.02333175727295471,reweight,Electric Power,2,0,25.72452087,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,1,LS,ENAT3,L,0.05514368420065077,0.05431499920895927,-0.0008286849916915029,reweight,Oil & Gas,9,0,10.69994799,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,1,LS,ENEV3,L,0.05514368420065077,0.05431499920895927,-0.0008286849916915029,reweight,Electric Power,9,0,4.96,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,1,LS,FESA4,L,0.05514368420065077,0.05431499920895927,-0.0008286849916915029,reweight,Basic & Fabricated Metal,6,0,3.647693451,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,1,LS,GUAR3,L,0.05514368420065077,0.05431499920895927,-0.0008286849916915029,reweight,Textile,3,0,15.79361846,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,1,LS,JBSS3,L,0.05514368420065077,0.05431499920895927,-0.0008286849916915029,reweight,Food & Beverage,6,0,13.23260595,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,1,LS,QUAL3,L,0.05514368420065077,0.05431499920895927,-0.0008286849916915029,reweight,Other,9,0,13.08007554,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,1,LS,SAPR11,L,0.05514368420065077,0.05431499920895927,-0.0008286849916915029,reweight,Other,15,0,18.09961551,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,1,LS,SEER3,L,0.05514368420065077,0.05431499920895927,-0.0008286849916915029,reweight,Other,6,0,19.37801131,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,1,LS,SMTO3,L,0.05514368420065077,0.05431499920895927,-0.0008286849916915029,reweight,Other,21,2,14.49714208,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,1,LS,TUPY3,L,0.05514368420065077,0.05431499920895927,-0.0008286849916915029,reweight,Vehicle & Parts,3,0,14.86776523,1.598892495131307,1.6223528299098544
2019-04-30,2019-05-02,1,LS,VULC3,L,0.05514368420065077,0.05431499920895927,-0.0008286849916915029,reweight,Textile,12,0,4.384805728,1.598892495131307,1.6223528299098544
