month_end,trade_date,cohort_id,book,ticker,side,prev_weight,target_weight,delta_weight,rationale,sector,duration_months,strikes,px_ref_open,vt_prev,vt_curr
2023-10-31,2023-11-01,0,D10,BBAS3,L,0.0,0.05555555555555555,0.05555555555555555,add,Financial Services,1,0,20.64011998,,
2023-10-31,2023-11-01,0,D10,BRPR3,L,0.0625,0.0,-0.0625,exit,Other,3,0,,,
2023-10-31,2023-11-01,0,D10,CEAB3,L,0.0,0.05555555555555555,0.05555555555555555,add,Trade,1,0,4.925036821,,
2023-10-31,2023-11-01,0,D10,CSMG3,L,0.0625,0.0,-0.0625,exit,Other,3,0,12.76938921,,
2023-10-31,2023-11-01,0,D10,CSNA3,L,0.0,0.05555555555555555,0.05555555555555555,add,Basic & Fabricated Metal,1,0,10.21953154,,
2023-10-31,2023-11-01,0,D10,CXSE3,L,0.0625,0.05555555555555555,-0.0069444444444444475,reweight,Financial Services,4,0,9.454065306,,
2023-10-31,2023-11-01,0,D10,GOAU4,L,0.0625,0.0,-0.0625,exit,Basic & Fabricated Metal,3,0,8.939627106,,
2023-10-31,2023-11-01,0,D10,IRBR3,L,0.0,0.05555555555555555,0.05555555555555555,add,Financial Services,1,0,40.84,,
2023-10-31,2023-11-01,0,D10,LEVE3,L,0.0625,0.05555555555555555,-0.0069444444444444475,reweight,Vehicle & Parts,4,0,24.11874012,,
2023-10-31,2023-11-01,0,D10,MDIA3,L,0.0625,0.0,-0.0625,exit,Food & Beverage,9,0,31.25868148,,
2023-10-31,2023-11-01,0,D10,MILS3,L,0.0625,0.0,-0.0625,exit,Other,0,0,9.651890579,,
2023-10-31,2023-11-01,0,D10,ONCO3,L,0.0625,0.05555555555555555,-0.0069444444444444475,reweight,Other,4,0,9.47,,
2023-10-31,2023-11-01,0,D10,PETR4,L,0.0,0.05555555555555555,0.05555555555555555,add,Oil & Gas,1,0,26.10687997,,
2023-10-31,2023-11-01,0,D10,PLPL3,L,0.0625,0.05555555555555555,-0.0069444444444444475,reweight,Construction,7,0,8.05039015,,
2023-10-31,2023-11-01,0,D10,POMO4,L,0.0625,0.05555555555555555,-0.0069444444444444475,reweight,Vehicle & Parts,4,0,3.947448841,,
2023-10-31,2023-11-01,0,D10,POSI3,L,0.0,0.05555555555555555,0.05555555555555555,add,Electric Electron,1,0,5.755053502,,
2023-10-31,2023-11-01,0,D10,PRIO3,L,0.0625,0.05555555555555555,-0.0069444444444444475,reweight,Oil & Gas,7,0,48.72174387,,
2023-10-31,2023-11-01,0,D10,RANI3,L,0.0625,0.05555555555555555,-0.0069444444444444475,reweight,Pulp & Paper,13,0,9.198561954,,
2023-10-31,2023-11-01,0,D10,SOJA3,L,0.0,0.05555555555555555,0.05555555555555555,add,Agriculture & Fisheries,1,0,11.50817346,,
2023-10-31,2023-11-01,0,D10,SQIA3,L,0.0,0.05555555555555555,0.05555555555555555,add,Software & Data,1,0,27.28,,
2023-10-31,2023-11-01,0,D10,TEND3,L,0.0,0.05555555555555555,0.05555555555555555,add,Construction,1,0,11.05880999,,
2023-10-31,2023-11-01,0,D10,TGMA3,L,0.0625,0.0,-0.0625,exit,Transportation Services,0,0,20.9607296,,
2023-10-31,2023-11-01,0,D10,TTEN3,L,0.0625,0.0,-0.0625,exit,Agriculture & Fisheries,6,0,10.75817376,,
2023-10-31,2023-11-01,0,D10,UNIP6,L,0.0625,0.05555555555555555,-0.0069444444444444475,reweight,Chemical,4,0,53.1378595,,
2023-10-31,2023-11-01,0,D10,VULC3,L,0.0625,0.05555555555555555,-0.0069444444444444475,reweight,Textile,16,0,14.72179363,,
2023-10-31,2023-11-01,1,D10,ABEV3,L,0.05555555555555555,0.05555555555555555,0.0,keep,Food & Beverage,6,0,11.29116668,,
2023-10-31,2023-11-01,1,D10,BRPR3,L,0.05555555555555555,0.05555555555555555,0.0,keep,Other,3,0,,,
2023-10-31,2023-11-01,1,D10,BRSR6,L,0.05555555555555555,0.05555555555555555,0.0,keep,Financial Services,1,0,9.568402088,,
2023-10-31,2023-11-01,1,D10,CSMG3,L,0.05555555555555555,0.05555555555555555,0.0,keep,Other,6,0,12.76938921,,
2023-10-31,2023-11-01,1,D10,CURY3,L,0.05555555555555555,0.05555555555555555,0.0,keep,Construction,1,0,12.74408031,,
