month_end,trade_date,cohort_id,book,ticker,side,prev_weight,target_weight,delta_weight,rationale,sector,duration_months,strikes,px_ref_open,delist_risk_score,delist_risk_flags,delist_risk_multiplier,vt_prev,vt_curr
2022-09-30,2022-10-03,0,D10,AALR3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Other,9,0,21.12,0,,1.0,,
2022-09-30,2022-10-03,0,D10,ASAI3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Trade,3,0,17.47576549,0,,1.0,,
2022-09-30,2022-10-03,0,D10,BBAS3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Financial Services,6,1,15.67723093,0,,1.0,,
2022-09-30,2022-10-03,0,D10,BBSE3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Financial Services,3,0,19.9445934,0,,1.0,,
2022-09-30,2022-10-03,0,D10,BEEF3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Food & Beverage,3,0,10.7044324,0,,1.0,,
2022-09-30,2022-10-03,0,D10,CBAV3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Mining,3,0,10.74343753,0,,1.0,,
2022-09-30,2022-10-03,0,D10,CIEL3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Software & Data,3,0,4.923065862,0,,1.0,,
2022-09-30,2022-10-03,0,D10,CPFE3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Electric Power,3,0,26.82658777,0,,1.0,,
2022-09-30,2022-10-03,0,D10,CRFB3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Trade,3,0,19.09011683,0,,1.0,,
2022-09-30,2022-10-03,0,D10,DIRR3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Construction,6,2,4.447468631,0,,1.0,,
2022-09-30,2022-10-03,0,D10,INTB3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Electric Electron,3,0,27.31285745,0,,1.0,,
2022-09-30,2022-10-03,0,D10,JHSF3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Construction,3,1,5.980251149,0,,1.0,,
2022-09-30,2022-10-03,0,D10,KEPL3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Basic & Fabricated Metal,6,1,8.168270531,0,,1.0,,
2022-09-30,2022-10-03,0,D10,LOGN3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Transportation Services,9,1,32.55,0,,1.0,,
2022-09-30,2022-10-03,0,D10,MYPK3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Vehicle & Parts,3,0,11.66082124,0,,1.0,,
2022-09-30,2022-10-03,0,D10,ORVR3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Other,6,0,40.23,0,,1.0,,
2022-09-30,2022-10-03,0,D10,RADL3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Trade,3,0,21.40733329,0,,1.0,,
2022-09-30,2022-10-03,0,D10,SBSP3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Other,3,1,52.8736231,0,,1.0,,
2022-09-30,2022-10-03,0,D10,SLCE3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Agriculture & Fisheries,3,0,17.33623468,0,,1.0,,
2022-09-30,2022-10-03,0,D10,SMTO3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Other,6,2,22.96915715,0,,1.0,,
2022-09-30,2022-10-03,0,D10,UNIP6,L,0.041666666666666685,0.041666666666666685,0.0,keep,Chemical,6,0,67.60093974,0,,1.0,,
2022-09-30,2022-10-03,0,D10,VIVA3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Trade,6,0,25.57170555,0,,1.0,,
2022-09-30,2022-10-03,0,D10,VULC3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Textile,3,0,11.05646114,0,,1.0,,
2022-09-30,2022-10-03,0,D10,WEGE3,L,0.041666666666666685,0.041666666666666685,0.0,keep,Industrial Machinery,6,0,30.74491758,0,,1.0,,
2022-09-30,2022-10-03,1,D10,AALR3,L,0.04545454545454548,0.04545454545454548,0.0,keep,Other,8,0,21.12,0,,1.0,,
2022-09-30,2022-10-03,1,D10,ASAI3,L,0.04545454545454548,0.04545454545454548,0.0,keep,Trade,8,0,17.47576549,0,,1.0,,
