month_end,trade_date,cohort_id,book,ticker,side,prev_weight,target_weight,delta_weight,rationale,sector,duration_months,strikes,px_ref_open,delist_risk_score,delist_risk_flags,delist_risk_multiplier,vt_prev,vt_curr
2022-01-31,2022-02-01,0,D10,ALLD3,L,0.04545454545454548,0.04347826086956524,-0.0019762845849802396,reweight,Trade,7,0,9.062350428,0,,1.0,,
2022-01-31,2022-02-01,0,D10,ALUP11,L,0.0,0.04347826086956524,0.04347826086956524,add,Electric Power,1,0,18.96346372,0,,1.0,,
2022-01-31,2022-02-01,0,D10,AZEV4,L,0.04545454545454548,0.0,-0.04545454545454548,exit,Construction,0,0,2.357661289,0,,1.0,,
2022-01-31,2022-02-01,0,D10,BMOB3,L,0.04545454545454548,0.0,-0.04545454545454548,exit,Software & Data,9,0,12.96086301,0,,1.0,,
2022-01-31,2022-02-01,0,D10,BRAP4,L,0.0,0.04347826086956524,0.04347826086956524,add,Other,2,0,17.6810805,0,,1.0,,
2022-01-31,2022-02-01,0,D10,CIEL3,L,0.04545454545454548,0.04347826086956524,-0.0019762845849802396,reweight,Software & Data,52,0,2.02303299,0,,1.0,,
2022-01-31,2022-02-01,0,D10,CPLE6,L,0.04545454545454548,0.04347826086956524,-0.0019762845849802396,reweight,Electric Power,10,0,5.562874165,0,,1.0,,
2022-01-31,2022-02-01,0,D10,CSMG3,L,0.04545454545454548,0.04347826086956524,-0.0019762845849802396,reweight,Other,10,0,9.18373715,0,,1.0,,
2022-01-31,2022-02-01,0,D10,CYRE3,L,0.04545454545454548,0.0,-0.04545454545454548,exit,Construction,0,0,14.89733788,0,,1.0,,
2022-01-31,2022-02-01,0,D10,DEXP3,L,0.04545454545454548,0.04347826086956524,-0.0019762845849802396,reweight,Other,7,0,8.424357499,0,,1.0,,
2022-01-31,2022-02-01,0,D10,DMMO3,L,0.04545454545454548,0.0,-0.04545454545454548,exit,Oil & Gas,0,0,1.07,0,,1.0,,
2022-01-31,2022-02-01,0,D10,ENAT3,L,0.0,0.04347826086956524,0.04347826086956524,add,Oil & Gas,1,0,13.94701144,0,,1.0,,
2022-01-31,2022-02-01,0,D10,EVEN3,L,0.0,0.04347826086956524,0.04347826086956524,add,Construction,1,0,5.992402173,0,,1.0,,
2022-01-31,2022-02-01,0,D10,FHER3,L,0.04545454545454548,0.0,-0.04545454545454548,exit,Chemical,6,1,16.16,1,liquidity_slump,0.75,,
2022-01-31,2022-02-01,0,D10,JALL3,L,0.04545454545454548,0.04347826086956524,-0.0019762845849802396,reweight,Other,7,0,9.140974519,0,,1.0,,
2022-01-31,2022-02-01,0,D10,JSLG3,L,0.04545454545454548,0.0,-0.04545454545454548,exit,Transportation Services,9,0,5.884460375,0,,1.0,,
2022-01-31,2022-02-01,0,D10,LAVV3,L,0.0,0.04347826086956524,0.04347826086956524,add,Construction,1,0,4.073077085,0,,1.0,,
2022-01-31,2022-02-01,0,D10,MBRF3,L,0.04545454545454548,0.04347826086956524,-0.0019762845849802396,reweight,Food & Beverage,10,0,15.58817227,0,,1.0,,
2022-01-31,2022-02-01,0,D10,PCAR3,L,0.04545454545454548,0.04347826086956524,-0.0019762845849802396,reweight,Trade,10,0,9.213866035,0,,1.0,,
2022-01-31,2022-02-01,0,D10,PLPL3,L,0.0,0.04347826086956524,0.04347826086956524,add,Construction,1,0,3.039180514,0,,1.0,,
2022-01-31,2022-02-01,0,D10,POSI3,L,0.0,0.04347826086956524,0.04347826086956524,add,Electric Electron,1,0,7.669444766,0,,1.0,,
2022-01-31,2022-02-01,0,D10,PSSA3,L,0.04545454545454548,0.04347826086956524,-0.0019762845849802396,reweight,Financial Services,10,0,16.57654454,0,,1.0,,
2022-01-31,2022-02-01,0,D10,RANI3,L,0.0,0.04347826086956524,0.04347826086956524,add,Pulp & Paper,1,0,4.629989574,0,,1.0,,
2022-01-31,2022-02-01,0,D10,RAPT4,L,0.04545454545454548,0.04347826086956524,-0.0019762845849802396,reweight,Vehicle & Parts,7,0,10.11735028,0,,1.0,,
2022-01-31,2022-02-01,0,D10,ROMI3,L,0.04545454545454548,0.04347826086956524,-0.0019762845849802396,reweight,Industrial Machinery,10,0,10.69952273,0,,1.0,,
2022-01-31,2022-02-01,0,D10,SAPR11,L,0.04545454545454548,0.04347826086956524,-0.0019762845849802396,reweight,Other,49,0,15.73210846,0,,1.0,,
2022-01-31,2022-02-01,0,D10,SEER3,L,0.04545454545454548,0.04347826086956524,-0.0019762845849802396,reweight,Other,10,0,11.3200354,0,,1.0,,
2022-01-31,2022-02-01,0,D10,SUZB3,L,0.04545454545454548,0.0,-0.04545454545454548,exit,Pulp & Paper,6,0,53.05102038,0,,1.0,,
2022-01-31,2022-02-01,0,D10,TIMS3,L,0.0,0.04347826086956524,0.04347826086956524,add,Telecommunication,1,0,10.41563762,0,,1.0,,
2022-01-31,2022-02-01,0,D10,TPIS3,L,0.04545454545454548,0.04347826086956524,-0.0019762845849802396,reweight,Transportation Services,10,0,7.498747098,0,,1.0,,
2022-01-31,2022-02-01,0,D10,VSTE3,L,0.04545454545454548,0.0,-0.04545454545454548,exit,Textile,0,0,13.68011865,0,,1.0,,
2022-01-31,2022-02-01,1,D10,ALLD3,L,0.05063291139240505,0.05063291139240505,0.0,keep,Trade,3,0,9.062350428,0,,1.0,,
2022-01-31,2022-02-01,1,D10,AZEV4,L,0.03797468354430379,0.03797468354430379,0.0,keep,Construction,1,0,2.357661289,0,,1.0,,
2022-01-31,2022-02-01,1,D10,BRAP4,L,0.05063291139240505,0.05063291139240505,0.0,keep,Other,30,2,17.6810805,0,,1.0,,
2022-01-31,2022-02-01,1,D10,BRKM5,L,0.05063291139240505,0.05063291139240505,0.0,keep,Chemical,3,0,47.3521885,0,,1.0,,
2022-01-31,2022-02-01,1,D10,CEAB3,L,0.05063291139240505,0.05063291139240505,0.0,keep,Trade,3,0,6.280376411,0,,1.0,,
2022-01-31,2022-02-01,1,D10,CSMG3,L,0.05063291139240505,0.05063291139240505,0.0,keep,Other,3,0,9.18373715,0,,1.0,,
2022-01-31,2022-02-01,1,D10,DMMO3,L,0.05063291139240505,0.05063291139240505,0.0,keep,Oil & Gas,1,0,1.07,0,,1.0,,
2022-01-31,2022-02-01,1,D10,ENAT3,L,0.05063291139240505,0.05063291139240505,0.0,keep,Oil & Gas,3,0,13.94701144,0,,1.0,,
2022-01-31,2022-02-01,1,D10,GUAR3,L,0.05063291139240505,0.05063291139240505,0.0,keep,Textile,1,0,12.20780547,0,,1.0,,
2022-01-31,2022-02-01,1,D10,JALL3,L,0.05063291139240505,0.05063291139240505,0.0,keep,Other,3,0,9.140974519,0,,1.0,,
2022-01-31,2022-02-01,1,D10,LAVV3,L,0.05063291139240505,0.05063291139240505,0.0,keep,Construction,3,0,4.073077085,0,,1.0,,
2022-01-31,2022-02-01,1,D10,LPSB3,L,0.05063291139240505,0.05063291139240505,0.0,keep,Other,3,0,2.624649514,0,,1.0,,
2022-01-31,2022-02-01,1,D10,MBRF3,L,0.05063291139240505,0.05063291139240505,0.0,keep,Food & Beverage,3,1,15.58817227,0,,1.0,,
2022-01-31,2022-02-01,1,D10,PCAR3,L,0.05063291139240505,0.05063291139240505,0.0,keep,Trade,3,0,9.213866035,0,,1.0,,
2022-01-31,2022-02-01,1,D10,POSI3,L,0.05063291139240505,0.05063291139240505,0.0,keep,Electric Electron,3,0,7.669444766,0,,1.0,,
2022-01-31,2022-02-01,1,D10,RANI3,L,0.05063291139240505,0.05063291139240505,0.0,keep,Pulp & Paper,3,0,4.629989574,0,,1.0,,
2022-01-31,2022-02-01,1,D10,ROMI3,L,0.05063291139240505,0.05063291139240505,0.0,keep,Industrial Machinery,3,0,10.69952273,0,,1.0,,
2022-01-31,2022-02-01,1,D10,SEER3,L,0.05063291139240505,0.05063291139240505,0.0,keep,Other,3,0,11.3200354,0,,1.0,,
2022-01-31,2022-02-01,1,D10,TIMS3,L,0.05063291139240505,0.05063291139240505,0.0,keep,Telecommunication,3,0,10.41563762,0,,1.0,,
2022-01-31,2022-02-01,1,D10,TPIS3,L,0.05063291139240505,0.05063291139240505,0.0,keep,Transportation Services,10,0,7.498747098,0,,1.0,,
2022-01-31,2022-02-01,2,D10,ALLD3,L,0.03614457831325299,0.03614457831325299,0.0,keep,Trade,2,0,9.062350428,0,,1.0,,
2022-01-31,2022-02-01,2,D10,BRAP4,L,0.048192771084337324,0.048192771084337324,0.0,keep,Other,2,0,17.6810805,0,,1.0,,
2022-01-31,2022-02-01,2,D10,CPLE6,L,0.048192771084337324,0.048192771084337324,0.0,keep,Electric Power,2,0,5.562874165,0,,1.0,,
2022-01-31,2022-02-01,2,D10,CSMG3,L,0.048192771084337324,0.048192771084337324,0.0,keep,Other,26,0,9.18373715,0,,1.0,,
2022-01-31,2022-02-01,2,D10,DEXP3,L,0.048192771084337324,0.048192771084337324,0.0,keep,Other,8,0,8.424357499,0,,1.0,,
2022-01-31,2022-02-01,2,D10,ENAT3,L,0.048192771084337324,0.048192771084337324,0.0,keep,Oil & Gas,2,0,13.94701144,0,,1.0,,
2022-01-31,2022-02-01,2,D10,JALL3,L,0.048192771084337324,0.048192771084337324,0.0,keep,Other,8,0,9.140974519,0,,1.0,,
2022-01-31,2022-02-01,2,D10,LAVV3,L,0.048192771084337324,0.048192771084337324,0.0,keep,Construction,2,0,4.073077085,0,,1.0,,
2022-01-31,2022-02-01,2,D10,LPSB3,L,0.048192771084337324,0.048192771084337324,0.0,keep,Other,2,0,2.624649514,0,,1.0,,
2022-01-31,2022-02-01,2,D10,MBRF3,L,0.048192771084337324,0.048192771084337324,0.0,keep,Food & Beverage,8,0,15.58817227,0,,1.0,,
2022-01-31,2022-02-01,2,D10,PCAR3,L,0.048192771084337324,0.048192771084337324,0.0,keep,Trade,8,0,9.213866035,0,,1.0,,
2022-01-31,2022-02-01,2,D10,PLPL3,L,0.048192771084337324,0.048192771084337324,0.0,keep,Construction,2,0,3.039180514,0,,1.0,,
2022-01-31,2022-02-01,2,D10,POSI3,L,0.048192771084337324,0.048192771084337324,0.0,keep,Electric Electron,2,0,7.669444766,0,,1.0,,
2022-01-31,2022-02-01,2,D10,PSSA3,L,0.048192771084337324,0.048192771084337324,0.0,keep,Financial Services,8,0,16.57654454,0,,1.0,,
2022-01-31,2022-02-01,2,D10,RANI3,L,0.048192771084337324,0.048192771084337324,0.0,keep,Pulp & Paper,2,0,4.629989574,0,,1.0,,
2022-01-31,2022-02-01,2,D10,RAPT4,L,0.048192771084337324,0.048192771084337324,0.0,keep,Vehicle & Parts,8,1,10.11735028,0,,1.0,,
