month_end,trade_date,cohort_id,book,ticker,side,prev_weight,target_weight,delta_weight,rationale,sector,duration_months,strikes,px_ref_open,delist_risk_score,delist_risk_flags,delist_risk_multiplier,vt_prev,vt_curr
2018-02-28,2018-03-01,0,D10,AESB3,L,0.10000000000000003,0.10000000000000003,0.0,keep,Electric Power,17,0,8.866224093,0,,1.0,,
2018-02-28,2018-03-01,0,D10,ALPA4,L,0.10000000000000003,0.10000000000000003,0.0,keep,Textile,17,0,13.07985938,0,,1.0,,
2018-02-28,2018-03-01,0,D10,ALSC3,L,0.10000000000000003,0.10000000000000003,0.0,keep,Other,23,0,17.52754023,0,,1.0,,
2018-02-28,2018-03-01,0,D10,CGAS5,L,0.10000000000000003,0.10000000000000003,0.0,keep,Oil & Gas,17,0,28.36571591,0,,1.0,,
2018-02-28,2018-03-01,0,D10,CPLE6,L,0.10000000000000003,0.10000000000000003,0.0,keep,Electric Power,17,0,1.430393748,0,,1.0,,
2018-02-28,2018-03-01,0,D10,CSMG3,L,0.10000000000000003,0.10000000000000003,0.0,keep,Other,17,0,7.22656376,0,,1.0,,
2018-02-28,2018-03-01,0,D10,ENBR3,L,0.10000000000000003,0.10000000000000003,0.0,keep,Electric Power,23,0,9.533515549,0,,1.0,,
2018-02-28,2018-03-01,0,D10,MGLU3,L,0.10000000000000003,0.10000000000000003,0.0,keep,Trade,56,0,27.06842832,0,,1.0,,
2018-02-28,2018-03-01,0,D10,PSSA3,L,0.10000000000000003,0.10000000000000003,0.0,keep,Financial Services,17,0,15.10390824,0,,1.0,,
2018-02-28,2018-03-01,0,D10,TUPY3,L,0.10000000000000003,0.10000000000000003,0.0,keep,Vehicle & Parts,23,0,13.67200023,0,,1.0,,
2018-02-28,2018-03-01,1,D10,AESB3,L,0.10000000000000003,0.0,-0.10000000000000003,exit,Electric Power,24,0,8.866224093,0,,1.0,,
2018-02-28,2018-03-01,1,D10,ALSC3,L,0.10000000000000003,0.0,-0.10000000000000003,exit,Other,21,0,17.52754023,0,,1.0,,
2018-02-28,2018-03-01,1,D10,AMAR3,L,0.0,0.0909090909090909,0.0909090909090909,add,Trade,1,0,28.52522194,0,,1.0,,
2018-02-28,2018-03-01,1,D10,BRAP4,L,0.0,0.0909090909090909,0.0909090909090909,add,Other,1,0,6.715031558,0,,1.0,,
2018-02-28,2018-03-01,1,D10,CGAS5,L,0.10000000000000003,0.0,-0.10000000000000003,exit,Oil & Gas,15,0,28.36571591,0,,1.0,,
2018-02-28,2018-03-01,1,D10,CIEL3,L,0.0,0.0909090909090909,0.0909090909090909,add,Software & Data,1,0,16.49107123,0,,1.0,,
2018-02-28,2018-03-01,1,D10,CPLE6,L,0.10000000000000003,0.0909090909090909,-0.009090909090909136,reweight,Electric Power,16,0,1.430393748,0,,1.0,,
2018-02-28,2018-03-01,1,D10,CRFB3,L,0.0,0.0909090909090909,0.0909090909090909,add,Trade,1,0,12.87671982,0,,1.0,,
2018-02-28,2018-03-01,1,D10,CSMG3,L,0.10000000000000003,0.0909090909090909,-0.009090909090909136,reweight,Other,16,0,7.22656376,0,,1.0,,
2018-02-28,2018-03-01,1,D10,ECOR3,L,0.0,0.0909090909090909,0.0909090909090909,add,Transportation Services,1,0,8.648100491,0,,1.0,,
