month_end,trade_date,cohort_id,book,ticker,side,prev_weight,target_weight,delta_weight,rationale,sector,duration_months,strikes,px_ref_open,delist_risk_score,delist_risk_flags,delist_risk_multiplier,vt_prev,vt_curr
2015-06-30,2015-07-01,0,D10,AEDU3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Other,1,0,,0,,1.0,,
2015-06-30,2015-07-01,0,D10,AMER3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Trade,1,0,1922.704105,0,,1.0,,
2015-06-30,2015-07-01,0,D10,APER3,L,0.050847457627118654,0.050847457627118654,0.0,keep,Financial Services,1,0,22.14164309,0,,1.0,,
2015-06-30,2015-07-01,0,D10,BRFS3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Food & Beverage,1,0,61.79428389,0,,1.0,,
2015-06-30,2015-07-01,0,D10,COGN3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Other,1,0,10.47499916,0,,1.0,,
2015-06-30,2015-07-01,0,D10,EZTC3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Construction,1,0,7.285103941,0,,1.0,,
2015-06-30,2015-07-01,0,D10,GRND3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Textile,21,0,2.863632633,0,,1.0,,
2015-06-30,2015-07-01,0,D10,LAND3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Other,1,0,6.920869343,0,,1.0,,
2015-06-30,2015-07-01,0,D10,PFRM3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Trade,1,0,5.903419531,0,,1.0,,
2015-06-30,2015-07-01,0,D10,PSSA3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Financial Services,21,0,12.02207723,0,,1.0,,
2015-06-30,2015-07-01,0,D10,SIMH3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Transportation Services,1,0,2.059983821,0,,1.0,,
2015-06-30,2015-07-01,0,D10,TIMS3,L,0.06779661016949154,0.06779661016949154,0.0,keep,Telecommunication,45,0,6.764043346,0,,1.0,,
2015-06-30,2015-07-01,0,D10,USIM5,L,0.06779661016949154,0.06779661016949154,0.0,keep,Basic & Fabricated Metal,21,0,3.197002771,0,,1.0,,
